# data from ifeffit
#------------------------
#   k         chi       chi_kw      win       win2
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000
  0.50000000E-01   0.16397211E-01   0.40993028E-04    0.0000000        0.0000000
  0.10000000       0.20348534E-01   0.20348534E-03    0.0000000        0.0000000
  0.15000000       0.27470845E-01   0.61809401E-03    0.0000000        0.0000000
  0.20000000       0.38373142E-01   0.15349257E-02    0.0000000        0.0000000
  0.25000000       0.53515711E-01   0.33447319E-02    0.0000000        0.0000000
  0.30000000       0.72500548E-01   0.65250493E-02    0.0000000        0.0000000
  0.35000000       0.93227524E-01   0.11420372E-01    0.0000000        0.0000000
  0.40000000       0.11629184       0.18606694E-01    0.0000000        0.0000000
  0.45000000       0.13968019       0.28285239E-01    0.0000000        0.0000000
  0.50000000       0.16242910       0.40607275E-01    0.0000000        0.0000000
  0.55000000       0.18449702       0.55810347E-01    0.0000000        0.0000000
  0.60000000       0.20574683       0.74068860E-01    0.0000000        0.0000000
  0.65000000       0.22578597       0.95394573E-01    0.0000000        0.0000000
  0.70000000       0.24444190       0.11977653        0.0000000        0.0000000
  0.75000000       0.26256140       0.14769079        0.0000000        0.0000000
  0.80000000       0.28196486       0.18045751        0.0000000        0.0000000
  0.85000000       0.30646312       0.22141960        0.0000000        0.0000000
  0.90000000       0.33825576       0.27398717        0.0000000        0.0000000
  0.95000000       0.36741036       0.33158785        0.0000000        0.0000000
  1.0000000       0.40027321       0.40027321        0.0000000        0.0000000
  1.0500000       0.43989718       0.48498664        0.0000000        0.0000000
  1.1000000       0.47863923       0.57915347        0.0000000        0.0000000
  1.1500000       0.50520455       0.66813302        0.0000000        0.0000000
  1.2000000       0.51074342       0.73547052        0.0000000        0.0000000
  1.2500000       0.49375897       0.77149839        0.0000000        0.0000000
  1.3000000       0.45848130       0.77483341        0.0000000        0.0000000
  1.3500000       0.40191649       0.73249279        0.0000000        0.0000000
  1.4000000       0.32495903       0.63691970        0.0000000        0.0000000
  1.4500000       0.26524889       0.55768579        0.0000000        0.0000000
  1.5000000       0.20435459       0.45979783        0.0000000        0.0000000
  1.5500000       0.15216100       0.36556681        0.0000000        0.0000000
  1.6000000       0.11405288       0.29197536        0.0000000        0.0000000
  1.6500000       0.85582194E-01   0.23299752        0.0000000        0.0000000
  1.7000000       0.64092341E-01   0.18522687        0.0000000        0.0000000
  1.7500000       0.40338841E-01   0.12353770       0.10348881E-31   0.51744405E-31
  1.8000000       0.20730055E-01   0.67165378E-01   0.27390498E-02   0.13695249E-01
  1.8500000       0.10081105E-02   0.34502582E-02   0.10926189E-01   0.54630947E-01
  1.9000000      -0.14509649E-01  -0.52379834E-01   0.24471719E-01   0.12235860
  1.9500000      -0.23790012E-01  -0.90461521E-01   0.43227231E-01   0.21613616
  2.0000000      -0.26436287E-01  -0.10574515       0.66987237E-01   0.33493619
  2.0500000      -0.19556077E-01  -0.82184415E-01   0.95491417E-01   0.47745708
  2.1000000      -0.51367437E-02  -0.22653040E-01   0.12842747       0.64213736
  2.1500000       0.17626830E-01   0.81480023E-01   0.16543455       0.82717276
  2.2000000       0.38484256E-01   0.18626380       0.20610720        1.0305360
  2.2500000       0.50201829E-01   0.25414676       0.24999979        1.2499989
  2.3000000       0.49434547E-01   0.26150875       0.29663143        1.4831572
  2.3500000       0.36079593E-01   0.19924955       0.34549122        1.7274561
  2.4000000       0.13064121E-01   0.75249338E-01   0.39604384        1.9802192
  2.4500000      -0.11956691E-01  -0.71770038E-01   0.44773543        2.2386771
