# data from ifeffit
# kmin =    2.5000000     
# kmax =    13.000000     
# dk1 =    1.5000000     
# dk2 =    1.5000000     
# kweight =    2.0000000     
# rmin =   0.90000000     
# rmax =    2.0000000     
# dr1 =   0.20000000     
# dr2 =   0.20000000     
#------------------------
#   r         chir_mag      chir_re      rwin
  0.0000000       0.61883847E-01  -0.61883847E-01    0.0000000
  0.30679616E-01   0.62284202E-01  -0.61993500E-01    0.0000000
  0.61359232E-01   0.63325542E-01  -0.62064221E-01    0.0000000
  0.92038847E-01   0.64625368E-01  -0.61496939E-01    0.0000000
  0.12271846       0.65797224E-01  -0.59760899E-01    0.0000000
  0.15339808       0.66657778E-01  -0.56759898E-01    0.0000000
  0.18407769       0.67333663E-01  -0.52901956E-01    0.0000000
  0.21475731       0.68232670E-01  -0.48810381E-01    0.0000000
  0.24543693       0.69873043E-01  -0.44852275E-01    0.0000000
  0.27611654       0.72622337E-01  -0.40790629E-01    0.0000000
  0.30679616       0.76488220E-01  -0.35800568E-01    0.0000000
  0.33747577       0.81106084E-01  -0.28865897E-01    0.0000000
  0.36815539       0.85921286E-01  -0.19329051E-01    0.0000000
  0.39883500       0.90433911E-01  -0.72615406E-02    0.0000000
  0.42951462       0.94386866E-01   0.65750810E-02    0.0000000
  0.46019424       0.97848166E-01   0.21155618E-01    0.0000000
  0.49087385       0.10117521       0.35738595E-01    0.0000000
  0.52155347       0.10486460       0.50187843E-01    0.0000000
  0.55223308       0.10932815       0.64861433E-01    0.0000000
  0.58291270       0.11469359       0.80138511E-01    0.0000000
  0.61359232       0.12074402       0.95896366E-01    0.0000000
  0.64427193       0.12703555       0.11129915        0.0000000
  0.67495155       0.13313082       0.12507551        0.0000000
  0.70563116       0.13884665       0.13615041        0.0000000
  0.73631078       0.14443361       0.14424720        0.0000000
  0.76699039       0.15062615       0.15005103        0.0000000
  0.79767001       0.15851043       0.15475176        0.0000000
  0.82834963       0.16920315       0.15914130       0.48762254E-01
  0.85902924       0.18345505       0.16271789       0.19997278
  0.88970886       0.20139564       0.16328375       0.41952362
  0.92038847       0.22256081       0.15728608       0.65740540
  0.95106809       0.24614014       0.14077807       0.85943332
  0.98174770       0.27127340       0.11057690       0.97958938
  1.0124273       0.29727279       0.65136056E-01    1.0000000
  1.0431069       0.32373116       0.48483517E-02    1.0000000
  1.0737866       0.35052342      -0.68175720E-01    1.0000000
  1.1044662       0.37772646      -0.15055549        1.0000000
  1.1351458       0.40549353      -0.23797812        1.0000000
  1.1658254       0.43392781      -0.32527624        1.0000000
  1.1965050       0.46299793      -0.40636177        1.0000000
  1.2271846       0.49252149      -0.47429773        1.0000000
  1.2578642       0.52221517      -0.52174169        1.0000000
  1.2885439       0.55178373      -0.54176734        1.0000000
  1.3192235       0.58100596      -0.52882407        1.0000000
  1.3499031       0.60977721      -0.47950417        1.0000000
  1.3805827       0.63808253      -0.39292616        1.0000000
  1.4112623       0.66589813      -0.27082131        1.0000000
  1.4419419       0.69304532      -0.11762822        1.0000000
  1.4726216       0.71904150       0.59127967E-01    1.0000000
  1.5033012       0.74299887       0.24820560        1.0000000
  1.5339808       0.76360791       0.43423150        1.0000000
  1.5646604       0.77921642       0.59824088        1.0000000
  1.5953400       0.78798680       0.71978546        1.0000000
  1.6260196       0.78809770       0.78065355        1.0000000
  1.6566993       0.77795253       0.76944110        1.0000000
  1.6873789       0.75636477       0.68555343        1.0000000
  1.7180585       0.72270189       0.54106436        1.0000000
  1.7487381       0.67698304       0.35936537        1.0000000
  1.7794177       0.61993881       0.17055615        1.0000000
  1.8100973       0.55305825       0.46682895E-02    1.0000000
  1.8407769       0.47867730      -0.11537704        1.0000000
  1.8714566       0.40022830      -0.17901628        1.0000000
  1.9021362       0.32293028      -0.18997309       0.99971843
  1.9328158       0.25547995      -0.16437030       0.93502936
  1.9634954       0.21250656      -0.12566405       0.77124913
  1.9941750       0.20978925      -0.97932835E-01   0.54568367
  2.0248546       0.24505138      -0.99457713E-01   0.30971236
  2.0555343       0.30004812      -0.13836893       0.11708485
  2.0862139       0.36030203      -0.21147785       0.11677899E-01
  2.1168935       0.41850659      -0.30643706        0.0000000
  2.1475731       0.47163099      -0.40632568        0.0000000
  2.1782527       0.51919905      -0.49494072        0.0000000
  2.2089323       0.56258560      -0.56079151        0.0000000
  2.2396120       0.60460037      -0.59824432        0.0000000
  2.2702916       0.64894752      -0.60542268        0.0000000
  2.3009712       0.69939216      -0.57998993        0.0000000
  2.3316508       0.75873577      -0.51520880        0.0000000
  2.3623304       0.82794678      -0.39901386        0.0000000
  2.3930100       0.90579686      -0.21785251        0.0000000
  2.4236896       0.98907845       0.35086228E-01    0.0000000
  2.4543693        1.0731948       0.35012916        0.0000000
  2.4850489        1.1528504       0.69441827        0.0000000
  2.5157285        1.2226732        1.0126525        0.0000000
  2.5464081        1.2777155        1.2373579        0.0000000
  2.5770877        1.3138356        1.3069732        0.0000000
  2.6077673        1.3279744        1.1862719        0.0000000
  2.6384470        1.3183357       0.88164769        0.0000000
  2.6691266        1.2844744       0.44473310        0.0000000
  2.6998062        1.2272937      -0.38369947E-01    0.0000000
  2.7304858        1.1489544      -0.46965114        0.0000000
  2.7611654        1.0527065      -0.76629640        0.0000000
  2.7918450       0.94265403      -0.88310968        0.0000000
  2.8225246       0.82347309      -0.82265007        0.0000000
  2.8532043       0.70010413      -0.63009550        0.0000000
  2.8838839       0.57744535      -0.37552730        0.0000000
