#
# E             sig     sig2   mu
     1.000   1706844.875     9147.078      79122.227               
     1.500    613556.062     3288.082      28441.906               
     2.000    297204.688     1592.737      13777.173               
     3.000    107372.211      575.414       4977.329               
     3.133     96325.898      516.216       4465.268
     3.316     83579.359      447.907       3874.391
     3.536     71191.906      381.521       3300.160               
     3.538    228477.797     1224.425      10591.280
     3.726    200560.922     1074.817       9297.170               
     3.728    281965.375     1511.068      13070.740
     4.000    236126.344     1265.414      10945.835               
     4.017    233617.438     1251.969      10829.532               
     4.019    268328.062     1437.985      12438.572
     5.000    151600.984      812.438       7027.591               
     6.000     93645.914      501.854       4341.035               
     7.000     62101.809      332.807       2878.781               
     8.000     43404.043      232.605       2012.031               
     9.000     31589.457      169.290       1464.356               
    10.000     23743.400      127.242       1100.645               
    12.000     14448.672       77.431        669.780               
    14.000      9472.765       50.765        439.118               
    16.000      6562.835       35.171        304.226               
    18.000      4744.645       25.427        219.942               
    20.000      3548.542       19.017        164.496               
    22.000      2728.525       14.622        126.483               
    23.172      2364.933       12.674        109.628
    24.000      2146.997       11.506         99.526               
    26.000      1722.778        9.232         79.861               
    26.093      1705.961        9.142         79.081
    26.710      1599.921        8.574         74.166              
    26.712      9522.111       51.030        441.405
    28.000      8464.202       45.360        392.365               
    30.000      7109.586       38.101        329.571               
    35.000      4780.024       25.616        221.582               
    40.000      3364.911       18.033        155.983               
    45.000      2457.687       13.171        113.928               
    50.000      1850.254        9.916         85.770               
    60.000      1127.304        6.041         52.257               
    70.000       740.382        3.968         34.321               
    80.000       515.128        2.761         23.879               
    90.000       375.241        2.011         17.395               
   100.000       283.803        1.521         13.156
