#
# E             sig     sig2   mu
     1.000    864405.750     9320.744      73261.047
     1.500    320723.000     3458.303      27182.262
     2.000    154493.422     1665.877      13093.793
     3.000     53193.742      573.579       4508.333
     4.000     24352.785      262.592       2063.974
     5.000     13112.896      141.394       1111.358
     6.000      7847.981       84.623        665.141
     6.403      6525.847       70.367        553.086
     7.000      5061.644       54.579        428.990
     7.057      4945.697       53.329        419.163
     7.111      4839.098       52.179        410.128
     7.113     37807.750      407.675       3204.323
     8.000     28037.604      302.325       2376.273
     9.000     20654.646      222.716       1750.545
    10.000     15639.531      168.638       1325.498
    12.000      9570.565      103.198        811.135
    14.000      6263.273       67.536        530.832
    16.000      4313.429       46.511        365.576
    18.000      3092.389       33.345        262.089
    20.000      2290.306       24.696        194.111
    22.000      1742.551       18.790        147.687
    24.000      1356.224       14.624        114.944
    26.000      1076.236       11.605         91.214
    28.000       868.538        9.365         73.611
    30.000       711.333        7.670         60.288
    35.000       455.783        4.915         38.629
    40.000       310.911        3.352         26.351
    45.000       222.871        2.403         18.889
    50.000       166.366        1.794         14.100
    60.000       102.100        1.101          8.653
    70.000        69.266        0.747          5.870
    80.000        50.723        0.547          4.299
    90.000        39.422        0.425          3.341
   100.000        32.108        0.346          2.721
