#
# E             sig     sig2   mu
     1.000    122161.625     4597.728       6.570153
     1.500     41708.105     1569.744       2.243165
     2.000     18762.010      706.135       1.009067
     3.000      5823.478      219.175       0.313201
     4.000      2473.609       93.098       0.133037
     5.000      1258.528       47.366       0.067687
     6.000       720.725       27.126       0.038762
     7.000       448.952       16.897       0.024146
     8.000       297.923       11.213       0.016023
     9.000       207.758        7.819       0.011174
    10.000       150.824        5.676       0.008112
    12.000        87.428        3.290       0.004702
    14.000        55.945        2.106       0.003009
    16.000        38.643        1.454       0.002078
    18.000        28.379        1.068       0.001526
    20.000        21.914        0.825       0.001179
    22.000        17.641        0.664       0.000949
    24.000        14.700        0.553       0.000791
    26.000        12.606        0.474       0.000678
    28.000        11.071        0.417       0.000595
    30.000         9.917        0.373       0.000533
    35.000         8.040        0.303       0.000432
    40.000         6.952        0.262       0.000374
    45.000         6.258        0.236       0.000337
    50.000         5.782        0.218       0.000311
    60.000         5.168        0.194       0.000278
    70.000         4.778        0.180       0.000257
    80.000         4.498        0.169       0.000242
    90.000         4.281        0.161       0.000230
   100.000         4.103        0.154       0.000221
