#
# E             sig     sig2   mu
     1.000   2144694.750     6232.766      70679.562
     1.500    863044.812     2508.122      28442.104
     2.000    453333.188     1317.446      14939.838
     3.000    183964.359      534.625       6062.644
     3.849    106202.633      308.639       3499.965
     3.851    536603.938     1559.442      17684.070
     4.000    486149.219     1412.814      16021.309
     5.000    272317.812      791.391       8974.379
     6.000    169838.438      493.573       5597.117
     7.000    114084.414      331.544       3759.713
     8.000     80914.180      235.147       2666.570
     9.000     59822.297      173.851       1971.476
    10.000     45701.977      132.816       1506.133
    10.549     39882.215      115.903       1314.340
    12.000     28748.551       83.547        947.424
    12.611     25352.875       73.679        835.518
    13.034     23325.244       67.786        768.696
    13.036     55528.039      161.372       1829.956
    14.000     46207.484      134.285       1522.792
    15.197     37418.684      108.744       1233.153
    15.199     52275.277      151.919       1722.760
    15.859     46842.371      136.130       1543.715
    15.861     54116.148      157.269       1783.427
    16.000     52902.844      153.743       1743.442
    18.000     38938.691      113.161       1283.245
    20.000     29585.908       85.981        975.019
    22.000     23067.486       67.037        760.201
    24.000     18374.156       53.398        605.530
    26.000     14901.979       43.307        491.103
    28.000     12273.521       35.668        404.480
    30.000     10244.198       29.771        337.603
    35.000      6840.143       19.878        225.421
    40.000      4821.648       14.012        158.900
    45.000      3543.509       10.298        116.778
    50.000      2691.886        7.823         88.713
    60.000      1676.868        4.873         55.262
    70.000      1127.919        3.278         37.171
    74.957       947.319        2.753         31.219
    80.000       803.251        2.334         26.472
    84.922       691.236        2.009         22.780
    88.005       632.286        1.838         20.837
    88.007      2575.681        7.485         84.883
    90.000      2437.933        7.085         80.343
   100.000      1879.790        5.463         61.949
