# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline      ee        chie
  6911.7671      -0.35992590E-01  -0.35992590E-01  -0.37455984E-01    1.5220655       -210.23290        0.0000000
  6916.8730      -0.39081634E-01  -0.39081634E-01  -0.40380298E-01    1.5148708       -205.12700        0.0000000
  6921.7030      -0.42193483E-01  -0.42193483E-01  -0.43146619E-01    1.5080856       -200.29700        0.0000000
  6926.8344      -0.45165576E-01  -0.45165576E-01  -0.46085538E-01    1.5008994       -195.16560        0.0000000
  6931.7399      -0.47365589E-01  -0.47365589E-01  -0.48895118E-01    1.4940508       -190.26010        0.0000000
  6936.9887      -0.51824526E-01  -0.51824526E-01  -0.51901251E-01    1.4867463       -185.01130        0.0000000
  6941.7869      -0.54345142E-01  -0.54345142E-01  -0.54649375E-01    1.4800897       -180.21310        0.0000000
  6946.8779      -0.57534656E-01  -0.57534656E-01  -0.57565203E-01    1.4730487       -175.12210        0.0000000
  6951.9154      -0.60404535E-01  -0.60404535E-01  -0.60450360E-01    1.4661040       -170.08460        0.0000000
  6956.9401      -0.63496774E-01  -0.63496774E-01  -0.63328158E-01    1.4591990       -165.05990        0.0000000
  6961.9621      -0.66253301E-01  -0.66253301E-01  -0.66204427E-01    1.4523196       -160.03790        0.0000000
  6966.8684      -0.69411878E-01  -0.69411878E-01  -0.69014437E-01    1.4456199       -155.13160        0.0000000
  6971.9156      -0.72276060E-01  -0.72276060E-01  -0.71905178E-01    1.4387495       -150.08440        0.0000000
  6976.8572      -0.75346493E-01  -0.75346493E-01  -0.74735385E-01    1.4320445       -145.14280        0.0000000
  6981.9918      -0.78131005E-01  -0.78131005E-01  -0.77676155E-01    1.4251000       -140.00820        0.0000000
  6986.8759      -0.80983962E-01  -0.80983962E-01  -0.80473481E-01    1.4185156       -135.12410        0.0000000
  6991.9328      -0.83849719E-01  -0.83849719E-01  -0.83369729E-01    1.4117202       -130.06720        0.0000000
  6996.9144      -0.86748719E-01  -0.86748719E-01  -0.86222865E-01    1.4050476       -125.08560        0.0000000
  7001.8515      -0.89708205E-01  -0.89708205E-01  -0.89050522E-01    1.3984560       -120.14850        0.0000000
  7006.9934      -0.92703649E-01  -0.92703649E-01  -0.91995467E-01    1.3916134       -115.00660        0.0000000
  7011.8412      -0.95368015E-01  -0.95368015E-01  -0.94772007E-01    1.3851833       -110.15880        0.0000000
  7016.9463      -0.98405177E-01  -0.98405177E-01  -0.97695871E-01    1.3784340       -105.05370        0.0000000
  7021.8712      -0.10117834      -0.10117834      -0.10051653        1.3719444       -100.12880        0.0000000
  7026.8765      -0.10382368      -0.10382368      -0.10338325        1.3653705       -95.123500        0.0000000
  7031.9730      -0.10672080      -0.10672080      -0.10630221        1.3586992       -90.027000        0.0000000
  7036.8361      -0.10943124      -0.10943124      -0.10908744        1.3523546       -85.163900        0.0000000
  7041.8952      -0.11203882      -0.11203882      -0.11198496        1.3457760       -80.104800        0.0000000
  7046.8567      -0.11484428      -0.11484428      -0.11482659        1.3393459       -75.143300        0.0000000
  7051.8254      -0.11746089      -0.11746089      -0.11767239        1.3329278       -70.174600        0.0000000
  7056.8965      -0.12024282      -0.12024282      -0.12057677        1.3263998       -65.103500        0.0000000
  7061.8378      -0.12257262      -0.12257262      -0.12340683        1.3200604       -60.162200        0.0000000
  7066.7546      -0.12499900      -0.12499900      -0.12622285        1.3137734       -55.245400        0.0000000
  7071.8057      -0.12740380      -0.12740380      -0.12911579        1.3073367       -50.194300        0.0000000
  7076.7476      -0.12957813      -0.12957813      -0.13194618        1.3010606       -45.252400        0.0000000
  7081.6860      -0.13160163      -0.13160163      -0.13477461        1.2948100       -40.314000        0.0000000
  7086.7913      -0.13317032      -0.13317032      -0.13769860        1.2883706       -35.208700        0.0000000
  7091.5312      -0.13442890      -0.13442890      -0.14041331        1.2824123       -30.468800        0.0000000
  7096.5552      -0.13462033      -0.13462033      -0.14329075        1.2761182       -25.444800        0.0000000
  7101.5653      -0.13600264      -0.13600264      -0.14616021        1.2698635       -20.434700        0.0000000
  7101.9395      -0.13821163      -0.13821163      -0.14637452        1.2693972       -20.060500        0.0000000
  7102.2817      -0.13848671      -0.13848671      -0.14657047        1.2689710       -19.718300        0.0000000
  7102.6987      -0.13669881      -0.13669881      -0.14680933        1.2684516       -19.301300        0.0000000
  7103.1906      -0.13361964      -0.13361964      -0.14709109        1.2678391       -18.809400        0.0000000
  7103.6399      -0.13235382      -0.13235382      -0.14734838        1.2672800       -18.360100        0.0000000
  7104.0036      -0.13184203      -0.13184203      -0.14755669        1.2668274       -17.996400        0.0000000
  7104.2818      -0.13145725      -0.13145725      -0.14771600        1.2664814       -17.718200        0.0000000
  7104.6241      -0.13105615      -0.13105615      -0.14791210        1.2660555       -17.375900        0.0000000
  7105.0950      -0.13007480      -0.13007480      -0.14818176        1.2654701       -16.905000        0.0000000
  7105.5231      -0.12972524      -0.12972524      -0.14842694        1.2649380       -16.476900        0.0000000
  7105.8763      -0.12906308      -0.12906308      -0.14862923        1.2644991       -16.123700        0.0000000
  7106.2402      -0.12820551      -0.12820551      -0.14883768        1.2640469       -15.759800        0.0000000
  7106.5721      -0.12779651      -0.12779651      -0.14902775        1.2636347       -15.427900        0.0000000
  7107.0646      -0.12650680      -0.12650680      -0.14930983        1.2630232       -14.935400        0.0000000
  7107.5251      -0.12534315      -0.12534315      -0.14957356        1.2624516       -14.474900        0.0000000
  7107.9427      -0.12418890      -0.12418890      -0.14981277        1.2619333       -14.057300        0.0000000
  7108.3176      -0.12289514      -0.12289514      -0.15002748        1.2614683       -13.682400        0.0000000
  7108.5961      -0.12159500      -0.12159500      -0.15018700        1.2611229       -13.403900        0.0000000
  7108.9711      -0.11921916      -0.11921916      -0.15040175        1.2606579       -13.028900        0.0000000
  7109.5068      -0.11541237      -0.11541237      -0.15070857        1.2599939       -12.493200        0.0000000
  7109.9354      -0.11000525      -0.11000525      -0.15095407        1.2594627       -12.064600        0.0000000
  7110.2784      -0.10302579      -0.10302579      -0.15115049        1.2590378       -11.721600        0.0000000
  7110.6214      -0.93821422E-01  -0.93821422E-01  -0.15134693        1.2586131       -11.378600        0.0000000
  7111.0073      -0.81290386E-01  -0.81290386E-01  -0.15156794        1.2581352       -10.992700        0.0000000
  7111.4683      -0.68571128E-01  -0.68571128E-01  -0.15183197        1.2575646       -10.531700        0.0000000
  7111.9186      -0.60274265E-01  -0.60274265E-01  -0.15208989        1.2570073       -10.081400        0.0000000
  7112.3583      -0.53379949E-01  -0.53379949E-01  -0.15234170        1.2564635       -9.6417000        0.0000000
  7112.6693      -0.47609055E-01  -0.47609055E-01  -0.15251983        1.2560788       -9.3307000        0.0000000
  7112.9374      -0.41369414E-01  -0.41369414E-01  -0.15267341        1.2557473       -9.0626000        0.0000000
