# GNXAS-like distribution function
# sigma =   0.10000000     
# beta =   0.50000000     
# r0 =    3.0000000     
# qq =    16.000000     
# N =    1.0000000     
# prefactor =   0.30588655E-10 
#------------------------
#   r         gr
  2.5000000        0.0000000
  2.5100000        0.0000000
  2.5200000        0.0000000
  2.5300000        0.0000000
  2.5400000        0.0000000
  2.5500000        0.0000000
  2.5600000        0.0000000
  2.5700000        0.0000000
  2.5800000        0.0000000
  2.5900000        0.0000000
  2.6000000       0.37198842E-47
  2.6100000       0.22016205E-16
  2.6200000       0.48358698E-12
  2.6300000       0.14194683E-09
  2.6400000       0.71201468E-08
  2.6500000       0.13565049E-06
  2.6600000       0.14009488E-05
  2.6700000       0.94821386E-05
  2.6800000       0.47105076E-04
  2.6900000       0.18477268E-03
  2.7000000       0.60156467E-03
  2.7100000       0.16844371E-02
  2.7200000       0.41645246E-02
  2.7300000       0.92742592E-02
  2.7400000       0.18894338E-01
  2.7500000       0.35650222E-01
  2.7600000       0.62918057E-01
  2.7700000       0.10471083
  2.7800000       0.16543506
  2.7900000       0.24953197
  2.8000000       0.36103918
  2.8100000       0.50312515
  2.8200000       0.67765558
  2.8300000       0.88484776
  2.8400000        1.1230571
  2.8500000        1.3887228
  2.8600000        1.6764780
  2.8700000        1.9794125
  2.8800000        2.2894572
  2.8900000        2.5978509
  2.9000000        2.8956448
  2.9100000        3.1741985
  2.9200000        3.4256308
  2.9300000        3.6431931
  2.9400000        3.8215457
  2.9500000        3.9569282
  2.9600000        4.0472238
  2.9700000        4.0919261
  2.9800000        4.0920231
  2.9900000        4.0498174
  3.0000000        3.9687013
  3.0100000        3.8529076
  3.0200000        3.7072537
  3.0300000        3.5368936
  3.0400000        3.3470910
  3.0500000        3.1430210
  3.0600000        2.9296063
  3.0700000        2.7113892
  3.0800000        2.4924403
  3.0900000        2.2763006
  3.1000000        2.0659541
  3.1100000        1.8638264
  3.1200000        1.6718033
  3.1300000        1.4912666
  3.1400000        1.3231401
  3.1500000        1.1679439
  3.1600000        1.0258509
  3.1700000       0.89674486
  3.1800000       0.78027586
  3.1900000       0.67591277
  3.2000000       0.58299045
  3.2100000       0.50075168
  3.2200000       0.42838321
  3.2300000       0.36504596
  3.2400000       0.30989968
  3.2500000       0.26212236
  3.2600000       0.22092505
  3.2700000       0.18556248
  3.2800000       0.15534026
  3.2900000       0.12961907
  3.3000000       0.10781653
  3.3100000       0.89407138E-01
  3.3200000       0.73920793E-01
  3.3300000       0.60940257E-01
  3.3400000       0.50097884E-01
  3.3500000       0.41071895E-01
  3.3600000       0.33582412E-01
  3.3700000       0.27387418E-01
  3.3800000       0.22278783E-01
  3.3900000       0.18078442E-01
  3.4000000       0.14634795E-01
  3.4100000       0.11819370E-01
  3.4200000       0.95237729E-02
  3.4300000       0.76569328E-02
  3.4400000       0.61426384E-02
  3.4500000       0.49173571E-02
  3.4600000       0.39283198E-02
  3.4700000       0.31318508E-02
  3.4800000       0.24919227E-02
  3.4900000       0.19789134E-02
  3.5000000       0.15685434E-02
  3.5100000       0.12409720E-02
  3.5200000       0.98003306E-03
  3.5300000       0.77259119E-03
  3.5400000       0.60800274E-03
  3.5500000       0.47766566E-03
  3.5600000       0.37464560E-03
  3.5700000       0.29336640E-03
  3.5800000       0.22935473E-03
  3.5900000       0.17903036E-03
  3.6000000       0.13953430E-03
  3.6100000       0.10858849E-03
  3.6200000       0.84381641E-04
  3.6300000       0.65476577E-04
  3.6400000       0.50735260E-04
  3.6500000       0.39258301E-04
  3.6600000       0.30336271E-04
  3.6700000       0.23410629E-04
  3.6800000       0.18042427E-04
  3.6900000       0.13887316E-04
  3.7000000       0.10675625E-04
  3.7100000       0.81965282E-05
  3.7200000       0.62854706E-05
  3.7300000       0.48142243E-05
  3.7400000       0.36830248E-05
  3.7500000       0.28143732E-05
  3.7600000       0.21481575E-05
  3.7700000       0.16378210E-05
  3.7800000       0.12473571E-05
  3.7900000       0.94895875E-06
  3.8000000       0.72118022E-06
  3.8100000       0.54750474E-06
  3.8200000       0.41522835E-06
  3.8300000       0.31459253E-06
  3.8400000       0.23811087E-06
  3.8500000       0.18004719E-06
  3.8600000       0.13601178E-06
  3.8700000       0.10264939E-06
  3.8800000       0.77398460E-07
  3.8900000       0.58305650E-07
  3.9000000       0.43883118E-07
  3.9100000       0.32998852E-07
  3.9200000       0.24792514E-07
  3.9300000       0.18610945E-07
  3.9400000       0.13958797E-07
  3.9500000       0.10460797E-07
  3.9600000       0.78329267E-08
  3.9700000       0.58604525E-08
  3.9800000       0.43811805E-08
  3.9900000       0.32727216E-08
  4.0000000       0.24428106E-08
