# data from ifeffit
#------------------------
#   k         amp       phase     rep       lambda    dk
  0.0000000        0.0000000       -1.7925000        1.9707000        22.666000        1.9707000
  0.20000000       0.51352046E-01   -2.7523000        1.9804000        22.774000        1.7804000
  0.40000000       0.97606624E-01   -3.6442000        2.0092000        23.051000        1.6092000
  0.60000000       0.13586520       -4.4694000        2.0565000        23.363000        1.4565000
  0.80000000       0.16542993       -5.2286000        2.1210000        23.513000        1.3210000
  1.0000000       0.18706058       -5.9220000        2.2017000        23.300000        1.2017000
  1.2000000       0.20138136       -6.5486000        2.2975000        22.603000        1.0975000
  1.4000000       0.20866177       -7.1073000        2.4074000        21.448000        1.0074000
  1.6000000       0.20822425       -7.5945000        2.5309000        19.998000       0.93090000
  1.8000000       0.19982745       -8.0032000        2.6677000        18.490000       0.86770000
  2.0000000       0.18363058       -8.3136000        2.8177000        17.153000       0.81770000
  2.2000000       0.16324350       -8.4911000        2.9812000        16.175000       0.78120000
  2.4000000       0.14992804       -8.3467000        3.2121000        13.441000       0.81210000
  2.6000000       0.17619726       -8.2737000        3.3368000        7.9839000       0.73680000
  2.8000000       0.22292708       -8.2816000        3.4696000        6.5878000       0.66960000
  3.0000000       0.29160960       -8.3984000        3.6097000        6.0201000       0.60970000
  3.2000000       0.38251258       -8.5612000        3.7565000        5.7728000       0.55650000
  3.4000000       0.48749952       -8.7778000        3.9093000        5.6886000       0.50930000
  3.6000000       0.58023892       -9.0076000        4.0675000        5.7020000       0.46750000
  3.8000000       0.67684752       -9.2482000        4.2303000        5.7801000       0.43030000
  4.0000000       0.75365400       -9.4883000        4.3973000        5.9048000       0.39730000
  4.2000000       0.82133634       -9.7063000        4.5679000        6.0648000       0.36790000
  4.4000000       0.87248770       -9.9265000        4.7417000        6.2530000       0.34170000
  4.6000000       0.91346296       -10.127400        4.9182000        6.4645000       0.31820000
  4.8000000       0.93532500       -10.332300        5.0972000        6.6957000       0.29720000
  5.0000000       0.94700529       -10.532400        5.2783000        6.9440000       0.27830000
  5.2000000       0.95647970       -10.714800        5.4612000        7.2075000       0.26120000
  5.4000000       0.95344360       -10.896100        5.6458000        7.4847000       0.24580000
  5.6000000       0.94880986       -11.069200        5.8318000        7.7744000       0.23180000
  5.8000000       0.93729199       -11.240900        6.0190000        8.0756000       0.21900000
  6.0000000       0.92408107       -11.403700        6.2074000        8.3876000       0.20740000
  6.5000000       0.87592648       -11.795540        6.6825000        9.2105000       0.18250000
  7.0000000       0.81088045       -12.168630        7.1622000        10.089000       0.16220000
  7.5000000       0.73815328       -12.524940        7.6455000        11.018000       0.14550000
  8.0000000       0.66423571       -12.868310        8.1316000        11.994000       0.13160000
  8.5000000       0.59291512       -13.201718        8.6199000        13.013000       0.11990000
  9.0000000       0.52732401       -13.532494        9.1099000        14.074000       0.10990000
  9.5000000       0.46915133       -13.855220        9.6013000        15.174000       0.10130000
  10.000000       0.41804362       -14.170250        10.094000        16.312000       0.94000000E-01
  11.000000       0.33699887       -14.773650        11.082000        18.696000       0.82000000E-01
  12.000000       0.27554695       -15.332500        12.072000        21.218000       0.72000000E-01
  13.000000       0.22785909       -15.865100        13.064000        23.869000       0.64000000E-01
  14.000000       0.19100592       -16.352900        14.058000        26.645000       0.58000000E-01
  15.000000       0.16201813       -16.816200        15.053000        29.539000       0.53000000E-01
  16.000000       0.13852391       -17.253200        16.048000        32.547000       0.48000000E-01
  17.000000       0.11903446       -17.654300        17.044000        35.666000       0.44000000E-01
  18.000000       0.10469551       -18.050900        18.041000        38.891000       0.41000000E-01
  19.000000       0.90596610E-01   -18.410900        19.038000        42.218000       0.38000000E-01
  20.000000       0.79477536E-01   -18.765300        20.036000        45.645000       0.36000000E-01
