# data from ifeffit
#------------------------
#   k         amp       phase     rep       lambda
  0.0000000        0.0000000      -0.10030000        2.0669000        23.773000
  0.20000000       0.10031579      -0.92530000        2.0762000        23.876000
  0.40000000       0.19652293       -1.6898000        2.1037000        24.141000
  0.60000000       0.28560780       -2.3956000        2.1488000        24.444000
  0.80000000       0.36539562       -3.0449000        2.2105000        24.599000
  1.0000000       0.43506892       -3.6403000        2.2878000        24.410000
  1.2000000       0.49517676       -4.1847000        2.3798000        23.748000
  1.4000000       0.54696122       -4.6806000        2.4854000        22.614000
  1.6000000       0.59063928       -5.1305000        2.6042000        21.146000
  1.8000000       0.62720820       -5.5370000        2.7357000        19.563000
  2.0000000       0.65596410       -5.9024000        2.8798000        18.090000
  2.2000000       0.67479830       -6.2300000        3.0366000        16.912000
  2.4000000       0.68166000       -6.5229000        3.2063000        16.171000
  2.6000000       0.78242304       -6.7961000        3.4080000        9.6592000
  2.8000000       0.89718018       -7.0587000        3.5375000        7.2282000
  3.0000000       0.94572681       -7.2965000        3.6743000        6.3503000
  3.2000000       0.94768380       -7.5466000        3.8178000        5.9595000
  3.4000000       0.92103195       -7.7802000        3.9675000        5.7916000
  3.6000000       0.87431377       -8.0196000        4.1226000        5.7482000
  3.8000000       0.81820675       -8.2452000        4.2826000        5.7837000
  4.0000000       0.75685500       -8.4797000        4.4469000        5.8737000
  4.2000000       0.69400624       -8.7121000        4.6149000        6.0041000
  4.4000000       0.63639175       -8.9415000        4.7864000        6.1659000
  4.6000000       0.57980741       -9.1681000        4.9607000        6.3529000
  4.8000000       0.52912734       -9.3908000        5.1376000        6.5612000
  5.0000000       0.48333375       -9.6160000        5.3168000        6.7876000
  5.2000000       0.44170361       -9.8360000        5.4979000        7.0298000
  5.4000000       0.40516928       -10.046000        5.6809000        7.2862000
  5.6000000       0.37111161       -10.256300        5.8653000        7.5554000
  5.8000000       0.34005321       -10.457500        6.0512000        7.8363000
  6.0000000       0.31171119       -10.653600        6.2382000        8.1281000
  6.5000000       0.25216134       -11.109360        6.7104000        8.9007000
  7.0000000       0.20599085       -11.532110        7.1877000        9.7286000
  7.5000000       0.17222685       -11.934900        7.6689000        10.606000
  8.0000000       0.14827410       -12.319690        8.1532000        11.529000
  8.5000000       0.13032642       -12.688807        8.6400000        12.495000
  9.0000000       0.11525501       -13.042877        9.1286000        13.501000
  9.5000000       0.10124263       -13.376190        9.6188000        14.545000
  10.000000       0.87972487E-01   -13.691660        10.110000        15.625000
  11.000000       0.67754661E-01   -14.282770        11.096000        17.891000
  12.000000       0.57069986E-01   -14.809600        12.085000        20.290000
  13.000000       0.48263658E-01   -15.291700        13.076000        22.814000
  14.000000       0.39208930E-01   -15.762400        14.069000        25.457000
  15.000000       0.33818276E-01   -16.171100        15.063000        28.215000
  16.000000       0.30487146E-01   -16.519200        16.058000        31.084000
  17.000000       0.26052261E-01   -16.899400        17.053000        34.058000
  18.000000       0.22622213E-01   -17.250000        18.050000        37.136000
  19.000000       0.21329548E-01   -17.502100        19.046000        40.312000
  20.000000       0.19672947E-01   -17.829900        20.043000        43.585000
