# data from ifeffit
#------------------------
#   k         amp       phase     rep       lambda
  0.0000000        0.0000000        1.0784500        1.8655000        21.456000
  0.10000000       0.30385124E-01   0.40570000        1.8681000        21.486000
  0.20000000       0.61653284E-01  -0.24990000        1.8758000        21.570000
  0.30000000       0.94682346E-01  -0.88650000        1.8886000        21.702000
  0.40000000       0.13030468       -1.5016000        1.9063000        21.864000
  0.50000000       0.16920376       -2.0925000        1.9289000        22.037000
  0.60000000       0.21179422       -2.6567000        1.9561000        22.196000
  0.70000000       0.25830495       -3.1925000        1.9879000        22.313000
  0.80000000       0.30775725       -3.6990000        2.0240000        22.359000
  0.90000000       0.35960596       -4.1758000        2.0644000        22.310000
  1.0000000       0.41239740       -4.6233000        2.1087000        22.146000
  1.1000000       0.46385040       -5.0420000        2.1570000        21.855000
  1.2000000       0.51226945       -5.4323000        2.2090000        21.437000
  1.3000000       0.55515404       -5.7940000        2.2647000        20.900000
  1.4000000       0.59126550       -6.1258000        2.3239000        20.265000
  1.5000000       0.61955930       -6.4254000        2.3868000        19.558000
  1.6000000       0.63824720       -6.6841000        2.4531000        18.811000
  1.7000000       0.63045870       -6.8989000        2.5230000        18.058000
  1.8000000       0.60872300       -7.0960000        2.5966000        17.332000
  1.9000000       0.58538050       -7.2681000        2.6739000        16.664000
  2.2000000       0.53426856       -7.5312000        2.9373000        15.310000
  2.4000000       0.78303072       -7.5555100        3.1258000        8.3210000
  2.6000000        1.1382360       -7.5569100        3.2602000        6.7124000
  2.8000000        1.4447472       -7.6317900        3.3955000        6.0474000
  3.0000000        1.5790052       -7.7897300        3.5408000        5.7524000
  3.2000000        1.5357860       -7.9904900        3.6924000        5.6415000
  3.4000000        1.3776914       -8.1910400        3.8494000        5.6385000
  3.6000000        1.1655543       -8.3431800        4.0113000        5.7065000
  3.8000000       0.97081992       -8.4303700        4.1776000        5.8252000
  4.0000000       0.84501236       -8.4714630        4.3476000        5.9825000
  4.2000000       0.78666908       -8.5381920        4.5210000        6.1705000
  4.4000000       0.74417185       -8.6682600        4.6973000        6.3838000
  4.6000000       0.68714388       -8.8605300        4.8761000        6.6185000
  4.8000000       0.59466420       -9.0765000        5.0571000        6.8720000
  5.0000000       0.46342856       -9.2868200        5.2401000        7.1420000
  5.2000000       0.30497311       -9.4609900        5.4248000        7.4269000
  5.4000000       0.14558278       -9.5502400        5.6109000        7.7254000
  5.6000000       0.25716370E-01   -8.5850000        5.7984000        8.0364000
  5.8000000       0.96021150E-01   -7.1232000        5.9871000        8.3590000
  6.0000000       0.15739902       -7.0851000        6.1767000        8.6926000
  6.5000000       0.26715420       -7.0688000        6.6546000        9.5707000
  7.0000000       0.41083992       -7.2244000        7.1367000        10.506000
  7.5000000       0.48826778       -7.4768000        7.6221000        11.494000
  8.0000000       0.47390974       -7.6427000        8.1099000        12.530000
  8.5000000       0.45499046       -7.7549000        8.5997000        13.612000
  9.0000000       0.44055343       -7.9269000        9.0911000        14.737000
  9.5000000       0.40210380       -8.0487000        9.5837000        15.903000
  10.000000       0.37413079       -8.0597000        10.077000        17.109000
  10.500000       0.36960768       -8.0992000        10.572000        18.353000
  12.000000       0.40200909       -8.2548000        12.059000        22.302000
  13.000000       0.43897093       -8.4955000        13.052000        25.106000
  14.000000       0.48759842       -8.7655000        14.047000        28.039000
  15.000000       0.50456610       -9.0972000        15.042000        31.096000
  16.000000       0.47914934       -9.4125000        16.039000        34.272000
  17.000000       0.47879048       -9.6038000        17.036000        37.563000
  18.000000       0.47610420       -9.7192000        18.033000        40.963000
  19.000000       0.44743079       -8.9468000        19.031000        44.471000
  20.000000       0.48379988       -12.295205        20.028000        48.082000
  21.000000       0.47441596       -12.079335        21.027000        51.793000
