# data from ifeffit
#------------------------
#   energy      norm
  5759.989        0.8457093E-02
  5769.980        0.6622463E-02
  5780.007        0.5794085E-02
  5790.003        0.3900004E-02
  5799.965        0.2724325E-02
  5810.034        0.1519617E-02
  5820.000        0.9593365E-03
  5830.002        0.1872062E-03
  5839.971       -0.5257261E-03
  5849.975       -0.1096478E-02
  5860.016       -0.1666440E-02
  5870.022       -0.1880806E-02
  5879.993       -0.1444084E-02
  5890.000       -0.1612976E-02
  5899.971       -0.1202031E-02
  5909.978       -0.1108864E-02
  5920.021       -0.5563008E-03
  5930.026        0.4298017E-04
  5939.995        0.1747566E-02
  5949.999        0.3912676E-02
  5959.965        0.5102834E-02
  5969.967        0.7953491E-02
  5970.487        0.8243023E-02
  5971.006        0.8674394E-02
  5971.526        0.8622619E-02
  5971.972        0.8993311E-02
  5972.492        0.8724729E-02
  5973.012        0.8976101E-02
  5973.532        0.9349609E-02
  5973.978        0.9316744E-02
  5974.498        0.9586801E-02
  5975.019        0.1014424E-01
  5975.464        0.1017464E-01
  5975.985        0.1066747E-01
  5976.506        0.1086672E-01
  5977.026        0.1123347E-01
  5977.473        0.1137959E-01
  5977.994        0.1151907E-01
  5978.515        0.1197576E-01
  5979.037        0.1242885E-01
  5979.483        0.1300036E-01
  5980.005        0.1281046E-01
  5980.526        0.1333863E-01
  5980.973        0.1373442E-01
  5981.495        0.1429952E-01
  5982.016        0.1488623E-01
  5982.463        0.1506296E-01
  5982.986        0.1528461E-01
  5983.507        0.1560419E-01
  5984.030        0.1659141E-01
  5984.477        0.1703932E-01
  5984.999        0.1740495E-01
  5985.521        0.1808700E-01
  5985.970        0.1872638E-01
  5986.492        0.1948059E-01
  5987.015        0.2040837E-01
  5987.463        0.2190216E-01
  5987.986        0.2317969E-01
  5988.509        0.2469452E-01
  5989.032        0.2689726E-01
  5989.480        0.2939357E-01
  5990.003        0.3236976E-01
  5990.526        0.3653355E-01
  5990.975        0.4193345E-01
  5991.499        0.5030808E-01
  5992.021        0.6476377E-01
  5992.471        0.8619476E-01
  5992.995        0.1319264
  5993.518        0.2062677
  5993.967        0.2934995
  5994.492        0.4588211
  5995.016        0.6950709
  5995.465        0.8014759
  5995.989        0.6453184
  5996.514        0.3979170
  5996.963        0.2699097
  5997.488        0.1926780
  5998.012        0.1545853
  5998.538        0.1353677
  5998.987        0.1270626
  5999.513        0.1260479
  6000.037        0.1318122
  6000.487        0.1411953
  6001.013        0.1580315
  6001.462        0.1746530
  6001.988        0.1946077
  6002.513        0.2160633
  6002.964        0.2324860
  6003.490        0.2493467
  6004.016        0.2635989
  6004.466        0.2724762
  6004.993        0.2844316
  6005.518        0.3009137
  6005.970        0.3208163
  6006.496        0.3504905
  6007.022        0.3854558
  6007.473        0.4149255
  6008.000        0.4509310
  6008.526        0.4955131
  6008.978        0.5397081
  6009.504        0.5943731
