# data from ifeffit
#------------------------
#   energy         norm
  6962.0000       0.72232766
  6972.0000       0.72278391
  6982.0000       0.71902593
  6992.0000       0.71835329
  7002.0000       0.71894324
  7012.0000       0.72050458
  7022.0000       0.71658747
  7032.0000       0.71969090
  7042.0000       0.71869960
  7052.0000       0.71754819
  7062.0000       0.71997056
  7072.0000       0.72556466
  7082.0000       0.72891292
  7092.0000       0.73135358
  7092.5000       0.73372515
  7093.0000       0.73391025
  7093.5000       0.73145263
  7094.0000       0.73172806
  7094.5000       0.73036434
  7095.0000       0.72922263
  7095.5000       0.73078694
  7096.0000       0.73454886
  7096.5000       0.73219545
  7097.0000       0.73400676
  7097.5000       0.73378578
  7098.0000       0.73404872
  7098.5000       0.73478724
  7099.0000       0.73498655
  7099.5000       0.73539378
  7100.0000       0.73434905
  7100.5000       0.73694992
  7101.0000       0.73813663
  7101.5000       0.73420090
  7102.0000       0.73824650
  7102.5000       0.73685547
  7103.0000       0.73582359
  7103.5000       0.73722720
  7104.0000       0.73591584
  7104.5000       0.73748379
  7105.0000       0.73777270
  7105.5000       0.73639122
  7106.0000       0.73853989
  7106.5000       0.74044001
  7107.0000       0.74334987
  7107.5000       0.74238276
  7108.0000       0.74246775
  7108.5000       0.74574348
  7109.0000       0.74636024
  7109.5000       0.74409700
  7110.0000       0.74768815
  7110.5000       0.74827371
  7111.0000       0.75250145
  7111.5000       0.75969480
  7112.0000       0.77068817
  7112.5000       0.78181920
  7113.0000       0.78822742
  7113.5000       0.79831078
  7114.0000       0.80398767
  7114.5000       0.79975791
  7115.0000       0.79713361
  7115.5000       0.79828669
  7116.0000       0.80217310
  7116.5000       0.80412705
  7117.0000       0.80429977
  7117.5000       0.80897356
  7118.0000       0.81242386
  7118.5000       0.81992082
  7119.0000       0.83057254
  7119.5000       0.84655482
  7120.0000       0.86781581
  7120.5000       0.89750096
  7121.0000       0.94225186
  7121.5000        1.0047462
  7122.0000        1.0791918
  7122.5000        1.1603246
  7123.0000        1.2393885
  7123.5000        1.3030756
  7124.0000        1.3660061
  7124.5000        1.4330279
  7125.0000        1.5065159
  7125.5000        1.5934831
  7126.0000        1.6841170
  7126.5000        1.7718786
  7127.0000        1.8554153
  7127.5000        1.9327689
  7128.0000        2.0047253
  7128.5000        2.0681862
  7129.0000        2.1108521
  7129.5000        2.1306305
  7130.0000        2.1379166
  7130.5000        2.1465561
  7131.0000        2.1594355
  7131.5000        2.1863768
  7132.0000        2.2164936
  7132.8830        2.2384315
  7133.7850        2.2214959
  7134.7070        2.1647942
  7135.6470        2.1066244
  7136.6060        2.0691746
  7137.5840        2.0347096
  7138.5820        1.9862618
  7139.5990        1.9365644
  7140.6340        1.8872549
  7141.6890        1.8473157
  7142.7630        1.8210153
  7143.8560        1.8081634
  7144.9680        1.8058264
  7146.0990        1.8086302
  7147.2490        1.8079889
  7148.4180        1.7893227
  7149.6060        1.7605283
  7150.8140        1.7329848
  7152.0410        1.7057630
  7153.2860        1.6839225
  7154.5510        1.6606130
  7155.8340        1.6399131
  7157.1370        1.6190257
  7158.4590        1.6047988
  7159.8000        1.5990965
  7161.1600        1.5972836
  7162.5390        1.6047528
  7163.9370        1.6134736
  7165.3540        1.6258249
  7166.7910        1.6377656
  7168.2460        1.6575332
  7169.7200        1.6850478
  7171.2140        1.7127316
  7172.7260        1.7520654
  7174.2580        1.7923037
  7175.8090        1.8213685
  7177.3780        1.8372974
  7178.9670        1.8479505
  7180.5750        1.8511402
  7182.2030        1.8531402
  7183.8490        1.8489544
  7185.5140        1.8439763
  7187.1980        1.8382639
  7188.9010        1.8345155
  7190.6240        1.8327928
  7192.3650        1.8239136
  7194.1260        1.8146326
  7195.9060        1.8038660
  7197.7050        1.7984229
  7199.5220        1.7879340
  7201.3590        1.7782134
  7203.2150        1.7678623
  7205.0900        1.7580102
  7206.9840        1.7533100
  7208.8970        1.7520403
  7210.8300        1.7502028
  7212.7810        1.7502628
  7214.7510        1.7508951
  7216.7410        1.7556411
  7218.7500        1.7602850
  7220.7770        1.7609791
  7222.8240        1.7700539
  7224.8900        1.7696859
  7226.9750        1.7697767
  7229.0790        1.7659277
  7231.2020        1.7643994
  7233.3440        1.7627919
  7235.5050        1.7667301
  7237.6850        1.7691791
  7239.8850        1.7720360
  7242.1030        1.7693498
  7244.3410        1.7663372
  7246.5970        1.7590957
  7248.8730        1.7565183
  7251.1670        1.7550709
  7253.4810        1.7537574
  7255.8140        1.7564813
  7258.1660        1.7652121
  7260.5370        1.7731549
  7262.9270        1.7804507
  7265.3360        1.7828751
  7267.7650        1.7904292
  7270.2120        1.7977722
  7272.6790        1.7978849
  7275.1640        1.7993343
  7277.6680        1.8054955
  7280.1920        1.8075160
  7282.7350        1.8105418
  7285.2970        1.8109939
  7287.8770        1.8094362
  7290.4780        1.8083424
  7293.0970        1.8073353
  7295.7350        1.8045272
  7298.3920        1.8015125
  7301.0680        1.7946973
  7303.7640        1.7865035
  7306.4780        1.7819853
  7309.2110        1.7785084
  7311.9640        1.7713190
  7314.7360        1.7659036
  7317.5260        1.7598645
  7320.3360        1.7568841
  7323.1650        1.7590541
  7326.0130        1.7636656
  7328.8800        1.7716251
  7331.7660        1.7790413
  7334.6710        1.7895866
  7337.5960        1.7974714
  7340.5390        1.8070550
  7343.5010        1.8141185
  7346.4830        1.8135927
  7349.4830        1.8146236
  7352.5030        1.8126046
  7355.5420        1.8110364
  7358.6000        1.8094059
  7361.6760        1.8061708
  7364.7720        1.8011581
  7367.8870        1.8009564
  7371.0210        1.7984373
  7374.1750        1.7987435
  7377.3470        1.7984194
  7380.5380        1.7982139
  7383.7490        1.8012322
  7386.9780        1.8005854
  7390.2270        1.8017305
  7393.4940        1.8022160
  7396.7810        1.8048552
  7400.0870        1.8136281
  7403.4120        1.8211370
  7406.7550        1.8281955
  7410.1190        1.8338292
  7413.5000        1.8341786
  7416.9020        1.8381999
  7420.3220        1.8395068
  7423.7610        1.8392709
  7427.2200        1.8370038
  7430.6970        1.8368922
  7434.1940        1.8340899
  7437.7090        1.8303112
  7441.2440        1.8303061
  7444.7980        1.8290523
  7448.3710        1.8274464
  7451.9620        1.8279222
  7455.5740        1.8315489
  7459.2040        1.8369048
  7462.8530        1.8399610
  7466.5210        1.8447130
  7470.2080        1.8489187
  7473.9150        1.8530226
  7477.6400        1.8573493
  7481.3850        1.8619316
  7485.1480        1.8651483
  7488.9310        1.8657395
  7492.7330        1.8685155
  7496.5540        1.8710898
  7500.3940        1.8726180
  7504.2530        1.8742138
  7508.1310        1.8761811
  7512.0280        1.8805224
  7515.9440        1.8816816
  7519.8790        1.8839811
  7523.8340        1.8857695
  7527.8070        1.8881407
  7531.8000        1.8934686
  7535.8120        1.8958031
  7539.8420        1.9005768
  7543.8920        1.9044003
  7547.9610        1.9072885
  7552.0490        1.9110698
  7556.1560        1.9130239
  7560.2820        1.9152513
  7564.4270        1.9189693
  7568.5910        1.9224478
  7572.7740        1.9259688
  7576.9770        1.9308121
  7581.1980        1.9345588
  7585.4390        1.9357412
  7589.6980        1.9435483
  7593.9770        1.9437308
  7598.2750        1.9492721
  7602.5920        1.9516675
  7606.9280        1.9553383
  7611.2830        1.9606184
  7615.6570        1.9664535
  7620.0500        1.9695172
  7624.4620        1.9736829
  7628.8940        1.9802744
  7633.3440        1.9826376
  7637.8130        1.9875489
  7642.3020        1.9884749
  7646.8100        1.9923875
  7651.3360        1.9972284
  7655.8820        1.9999589
  7660.4470        2.0023936
  7665.0300        2.0070721
  7669.6340        2.0130354
  7674.2550        2.0197673
  7678.8960        2.0261243
  7683.5570        2.0337807
  7688.2360        2.0397526
  7692.9350        2.0428121
  7697.6520        2.0495178
  7702.3890        2.0561614
  7707.1440        2.0601783
  7711.9190        2.0652967
  7716.7120        2.0707417
  7721.5250        2.0761038
  7726.3570        2.0793218
  7731.2080        2.0881746
  7736.0780        2.0919499
  7740.9670        2.0978155
  7745.8750        2.1053570
  7750.8030        2.1101241
  7755.7500        2.1139525
  7760.7150        2.1209251
  7765.6990        2.1250581
  7770.7030        2.1310024
  7775.7260        2.1371354
  7780.7670        2.1439430
  7785.8280        2.1509163
  7790.9080        2.1592026
  7796.0070        2.1619093
  7801.1250        2.1707378
  7806.2620        2.1757592
  7811.4180        2.1827220
  7816.5940        2.1907048
  7821.7880        2.1981442
  7827.0010        2.2026820
  7832.2340        2.2092353
  7837.4850        2.2159341
  7842.7560        2.2256283
  7848.0460        2.2326768
  7853.3540        2.2394837
  7858.6830        2.2466118
  7864.0300        2.2540454
  7869.3960        2.2612671
  7874.7810        2.2707483
  7880.1850        2.2793508
  7885.6080        2.2868172
  7891.0510        2.2936707
  7896.5120        2.3032637
  7901.9920        2.3114585
  7907.4920        2.3188348
  7913.0110        2.3266154
  7918.5480        2.3324372
  7924.1050        2.3409123
  7929.6810        2.3479095
  7935.2760        2.3572933
  7940.8900        2.3662273
  7946.5230        2.3771556
  7952.1750        2.3838362
  7957.8470        2.3944999
  7963.5370        2.4030376
  7969.2470        2.4115652
