# data from ifeffit
#------------------------
#   energy       norm
  7061.9820       0.10584711E-02
  7066.9940      -0.76803870E-03
  7072.0140       0.35940871E-02
  7076.9990      -0.70572560E-04
  7081.9900      -0.24849238E-02
  7086.9890      -0.37286295E-02
  7091.9750      -0.61817574E-03
  7096.9880       0.11686774E-02
  7101.9880       0.21395371E-02
  7106.9740       0.60500480E-02
  7107.5310       0.68438245E-02
  7108.0020       0.12485258E-01
  7108.4950       0.15079914E-01
  7109.0090       0.20007558E-01
  7109.5230       0.14339564E-01
  7109.9950       0.17325725E-01
  7110.5310       0.36017940E-01
  7111.0020       0.33631126E-01
  7111.4950       0.46729547E-01
  7112.0310       0.63269106E-01
  7112.5030       0.84932687E-01
  7112.9970       0.10309855
  7113.5330       0.10698433
  7114.0260       0.10247245
  7114.4990       0.90936407E-01
  7115.0140       0.78140036E-01
  7115.5070       0.83219263E-01
  7116.0010       0.86311220E-01
  7116.5170       0.91483297E-01
  7117.0320       0.93305566E-01
  7117.5040       0.96386963E-01
  7117.9990       0.10306972
  7118.5360       0.12087993
  7119.0300       0.13878989
  7119.5030       0.15489160
  7120.0190       0.18598077
  7120.5350       0.22550177
  7121.0070       0.28532106
  7121.5230       0.34612050
  7122.0180       0.41016333
  7122.5350       0.48057064
  7123.0080       0.54255269
  7123.5240       0.59709874
  7123.9980       0.65172711
  7124.5140       0.70870093
  7125.0090       0.76971606
  7125.5260       0.83112447
  7126.0210       0.89416956
  7126.4950       0.94791993
  7127.0330       0.99737840
  7127.5290        1.0524604
  7128.0030        1.0944189
  7128.5200        1.1319934
  7129.0160        1.1675125
  7129.5330        1.1929213
  7130.0290        1.2121276
  7130.5250        1.2265782
  7131.0210        1.2365306
  7131.4950        1.2463297
  7132.0340        1.2470549
  7132.5310        1.2407311
  7133.0270        1.2378733
  7133.5010        1.2297632
  7134.0200        1.2206850
  7134.4950        1.2115700
  7135.0130        1.1975620
  7135.5090        1.1898597
  7136.0060        1.1795691
  7136.5020        1.1708670
  7137.0000        1.1622491
  7139.0090        1.1281742
  7140.9980        1.0841123
  7143.0100        1.0568030
  7145.0020        1.0512196
  7146.9950        1.0483445
  7149.0320        1.0124956
  7151.0050       0.97737385
  7153.0230       0.94203756
  7154.9990       0.92570732
  7156.9970       0.90495316
  7158.9970       0.90277409
  7160.9980       0.89867551
  7162.9780       0.89354402
  7165.0030       0.90728365
  7167.0070       0.93308756
  7169.0130       0.94907051
  7170.9980       0.97765005
  7173.0050       0.99740987
  7175.0140        1.0218251
  7177.0020        1.0348150
  7179.0140        1.0476713
  7181.0260        1.0544208
  7182.9960        1.0597583
  7185.0110        1.0662557
  7187.0270        1.0662600
  7189.0220        1.0685443
  7190.9970        1.0688631
  7192.9940        1.0652538
  7195.0370        1.0638549
  7197.0150        1.0652782
  7199.0160        1.0725530
  7200.9960        1.0678365
  7203.0210        1.0642066
  7205.0040        1.0616218
  7207.0310        1.0514142
  7209.0160        1.0550992
  7211.0240        1.0445636
  7212.9890        1.0457896
  7215.0210        1.0451899
  7217.0110        1.0407508
  7219.0010        1.0427324
  7220.9930        1.0494711
  7223.0080        1.0521477
  7225.0020        1.0544140
  7226.9970        1.0588151
  7229.0150        1.0633167
  7231.0130        1.0600871
  7233.0110        1.0593111
  7235.0110        1.0638866
  7237.0120        1.0689262
  7239.0360        1.0687572
  7240.9950        1.0624150
  7243.0210        1.0688877
  7245.0260        1.0749623
  7247.0110        1.0861522
