# data from ifeffit
#------------------------
#   energy       norm
  7062.0030       0.32913887
  7067.0160       0.33198448
  7072.0140       0.34006529
  7076.9770       0.35897324
  7081.9900       0.36351799
  7087.0110       0.35822447
  7091.9750       0.35037788
  7096.9880       0.37116159
  7102.0100       0.36307479
  7106.9740       0.35345615
  7107.5310       0.35405131
  7108.0020       0.36716258
  7108.5160       0.36490112
  7109.0090       0.36714739
  7109.5230       0.37445362
  7110.0160       0.37603110
  7110.5090       0.37224703
  7111.0020       0.38480186
  7111.5170       0.38295789
  7112.0310       0.38813718
  7112.5030       0.40895784
  7113.0180       0.42840173
  7113.5120       0.43397728
  7114.0050       0.44581103
  7114.5200       0.44100965
  7115.0350       0.42879793
  7115.5290       0.43132723
  7116.0010       0.43596185
  7116.5170       0.43831964
  7117.0100       0.43333191
  7117.5040       0.43478304
  7117.9990       0.44688403
  7118.5360       0.46387048
  7119.0080       0.46689520
  7119.5030       0.47983296
  7120.0190       0.50564246
  7120.5130       0.54051144
  7121.0290       0.57870660
  7121.5230       0.63354594
  7122.0180       0.69550476
  7122.5350       0.77296890
  7123.0290       0.84975392
  7123.5240       0.91660234
  7123.9980       0.97789794
  7124.5360        1.0532289
  7125.0310        1.1365300
  7125.5040        1.2349631
  7126.0000        1.3492868
  7126.5170        1.4658126
  7127.0330        1.5795822
  7127.5070        1.6904473
  7128.0240        1.8144126
  7128.5200        1.9086350
  7129.0160        1.9748725
  7129.5110        2.0211617
  7130.0290        2.0319224
  7130.5030        2.0281824
  7130.9990        2.0148124
  7131.4950        1.9908196
  7132.0340        1.9763564
  7132.5090        1.9732401
  7133.0270        1.9635535
  7133.5230        1.9527122
  7133.9980        1.9465271
  7134.4950        1.9135389
  7135.0340        1.9203845
  7135.5310        1.8956895
  7136.0060        1.8836254
  7136.5020        1.8586290
  7137.0210        1.8393420
  7139.0090        1.7467721
  7140.9980        1.6722482
  7143.0100        1.6294643
  7145.0020        1.6058822
  7147.0160        1.5782046
  7149.0320        1.5297409
  7151.0050        1.4517741
  7153.0230        1.4129866
  7155.0210        1.3797266
  7156.9970        1.3546081
  7158.9970        1.3363281
  7160.9980        1.3299988
  7162.9780        1.3575194
  7165.0030        1.3821867
  7167.0070        1.4225182
  7169.0130        1.4606389
  7170.9980        1.5127310
  7173.0270        1.5573820
  7175.0140        1.5899170
  7177.0020        1.6200917
  7179.0140        1.6262933
  7181.0040        1.6147270
  7182.9960        1.6058470
  7185.0330        1.6082931
  7187.0050        1.6099376
  7189.0220        1.6091047
  7190.9970        1.6108570
  7192.9940        1.6179756
  7195.0370        1.6331925
  7197.0150        1.6245757
  7199.0160        1.6334769
  7200.9960        1.6127614
  7202.9990        1.6104722
  7205.0040        1.6076485
  7207.0090        1.5919567
  7208.9720        1.5807692
  7210.9800        1.5792997
  7213.0110        1.5752684
  7215.0000        1.5691121
  7217.0110        1.5690798
  7219.0010        1.5625731
  7221.0370        1.5733895
  7223.0080        1.5763750
  7225.0020        1.5911689
  7226.9970        1.5996712
  7229.0150        1.6025579
  7231.0130        1.5995880
  7233.0330        1.6165926
  7235.0330        1.6367061
  7237.0340        1.6368742
  7239.0360        1.6366386
  7240.9950        1.6255614
  7242.9990        1.6565059
  7244.9820        1.6526121
  7247.0110        1.6449501
