# data from ifeffit
#------------------------
#   energy      norm
  6962.0000        2.1602677
  6972.0000        2.1601798
  6982.0000        2.1600539
  6992.0000        2.1598713
  7002.0000        2.1598556
  7012.0000        2.1597385
  7022.0000        2.1598012
  7032.0000        2.1596482
  7042.0000        2.1600296
  7052.0000        2.1601402
  7062.0000        2.1604141
  7072.0000        2.1609361
  7082.0000        2.1618213
  7092.0000        2.1637233
  7092.5000        2.1639608
  7093.0000        2.1641520
  7093.5000        2.1643053
  7094.0000        2.1643428
  7094.5000        2.1644650
  7095.0000        2.1647917
  7095.5000        2.1648272
  7096.0000        2.1651227
  7096.5000        2.1651215
  7097.0000        2.1654434
  7097.5000        2.1656033
  7098.0000        2.1658684
  7098.5000        2.1664207
  7099.0000        2.1667292
  7099.5000        2.1669658
  7100.0000        2.1673858
  7100.5000        2.1677678
  7101.0000        2.1681059
  7101.5000        2.1685376
  7102.0000        2.1690271
  7102.5000        2.1694227
  7103.0000        2.1701152
  7103.5000        2.1705732
  7104.0000        2.1716438
  7104.5000        2.1724149
  7105.0000        2.1735062
  7105.5000        2.1747269
  7106.0000        2.1757832
  7106.5000        2.1775042
  7107.0000        2.1794840
  7107.5000        2.1819107
  7108.0000        2.1851720
  7108.5000        2.1896804
  7109.0000        2.1964142
  7109.5000        2.2079340
  7110.0000        2.2296337
  7110.5000        2.2646301
  7111.0000        2.3153255
  7111.5000        2.3646343
  7112.0000        2.4006889
  7112.5000        2.4300325
  7113.0000        2.4544814
  7113.5000        2.4755489
  7114.0000        2.4935835
  7114.5000        2.5072029
  7115.0000        2.5141529
  7115.5000        2.5191658
  7116.0000        2.5249172
  7116.5000        2.5348041
  7117.0000        2.5543822
  7117.5000        2.5841173
  7118.0000        2.6173870
  7118.5000        2.6557797
  7119.0000        2.6918156
  7119.5000        2.7313760
  7120.0000        2.7725179
  7120.5000        2.8108308
  7121.0000        2.8459025
  7121.5000        2.8782039
  7122.0000        2.9041105
  7122.5000        2.9269697
  7123.0000        2.9479404
  7123.5000        2.9658080
  7124.0000        2.9817648
  7124.5000        2.9970922
  7125.0000        3.0112958
  7125.5000        3.0264308
  7126.0000        3.0423996
  7126.5000        3.0591308
