# data from ifeffit
#------------------------
#   energy       norm
  7062.0030        1.4275671
  7067.0160        1.4227760
  7072.0140        1.4349195
  7076.9990        1.4454698
  7081.9900        1.4406475
  7087.0110        1.4389203
  7091.9960        1.4420547
  7096.9880        1.4396434
  7102.0310        1.4383447
  7106.9960        1.4488464
  7107.5090        1.4545394
  7108.0230        1.4602497
  7108.4950        1.4647021
  7109.0300        1.4701006
  7109.5230        1.4735290
  7109.9950        1.4778103
  7110.5090        1.4923340
  7111.0230        1.5103742
  7111.5170        1.5094037
  7112.0100        1.5173044
  7112.5030        1.5084051
  7112.9970        1.5185137
  7113.5120        1.5170564
  7114.0260        1.5236935
  7114.5200        1.5272456
  7115.0140        1.5359696
  7115.5290        1.5537515
  7116.0220        1.5800926
  7116.4950        1.6108339
  7117.0320        1.6697218
  7117.5040        1.7395852
  7117.9990        1.8269054
  7118.5140        1.9192109
  7119.0300        1.9744274
  7119.5030        2.0656326
  7119.9970        2.1893453
  7120.5130        2.3468095
  7121.0290        2.5183328
  7121.5020        2.7295111
  7122.0180        2.9133538
  7122.5350        3.0645185
  7123.0290        3.1775051
  7123.5020        3.2484363
  7124.0190        3.2795276
  7124.5140        3.2820298
  7125.0090        3.2473288
  7125.5260        3.2349395
  7126.0210        3.2130675
  7126.4950        3.2067011
  7127.0120        3.1206225
  7127.5290        3.0319213
  7128.0030        2.9559600
  7128.4990        2.8843638
  7129.0160        2.8367093
  7129.5330        2.7978304
  7130.0290        2.7671648
  7130.5030        2.7543591
  7131.0210        2.7517920
  7131.4950        2.7560655
  7132.0130        2.8042116
  7132.5310        2.8610573
  7133.0270        2.8819865
  7133.5010        2.9143673
  7133.9980        2.9463343
  7134.5160        2.9562911
  7135.0130        2.9487920
  7135.5090        2.9790577
  7136.0270        2.9725572
  7136.5020        2.9677836
  7137.0210        2.9445706
  7139.0090        2.8214551
  7141.0200        2.6814089
  7143.0100        2.5644373
  7144.9800        2.4687190
  7146.9730        2.4289719
  7149.0100        2.4150478
  7151.0050        2.4459313
  7153.0010        2.4571228
  7155.0210        2.5214546
  7157.0190        2.6011301
  7159.0190        2.6793674
  7160.9980        2.7061593
  7163.0000        2.7206069
  7165.0030        2.7599513
  7167.0070        2.7845784
  7169.0130        2.8222117
  7170.9760        2.8192740
  7173.0050        2.8047487
  7174.9920        2.7602397
  7176.9800        2.7206827
  7178.9920        2.7026698
  7181.0040        2.7112843
  7182.9960        2.7028305
  7185.0110        2.7324263
  7187.0050        2.7144735
  7188.9790        2.7058725
  7190.9970        2.6982451
  7192.9720        2.6947726
  7195.0370        2.6685092
  7197.0150        2.6601075
  7198.9940        2.6327916
  7200.9960        2.6299805
  7202.9990        2.6344280
  7205.0040        2.6448946
  7207.0090        2.6437954
  7208.9940        2.6499310
  7211.0020        2.6464899
  7212.9890        2.6482874
  7215.0000        2.6607310
  7217.0110        2.6682942
  7219.0010        2.6671102
  7221.0150        2.6864216
  7223.0080        2.6876138
  7225.0240        2.6780732
  7226.9970        2.6914266
  7229.0150        2.7009720
  7231.0130        2.7100956
  7233.0110        2.7192690
  7235.0330        2.7114681
  7237.0340        2.7166232
  7239.0360        2.7186693
  7240.9720        2.7228215
  7242.9990        2.7264929
  7244.9820        2.7337185
  7247.0110        2.7329308
