# data from ifeffit
#------------------------
#   energy       norm
  6911.7671        1.0810527
  6916.8730        1.0809342
  6921.7030        1.0806857
  6926.8344        1.0806618
  6931.7399        1.0811003
  6936.9887        1.0800552
  6941.7869        1.0802189
  6946.8779        1.0800220
  6951.9154        1.0800330
  6956.9401        1.0798787
  6961.9621        1.0799648
  6966.8684        1.0797141
  6971.9156        1.0797332
  6976.8572        1.0795604
  6981.9918        1.0796728
  6986.8759        1.0796328
  6991.9328        1.0796547
  6996.9144        1.0796217
  7001.8515        1.0795269
  7006.9934        1.0794906
  7011.8412        1.0795712
  7016.9463        1.0794897
  7021.8712        1.0795239
  7026.8765        1.0796832
  7031.9730        1.0796989
  7036.8361        1.0797527
  7041.8952        1.0799613
  7046.8567        1.0799873
  7051.8254        1.0801521
  7056.8965        1.0802402
  7061.8378        1.0806001
  7066.7546        1.0808804
  7071.8057        1.0812316
  7076.7476        1.0817035
  7081.6860        1.0822826
  7086.7913        1.0832575
  7091.5312        1.0843050
  7096.5552        1.0862373
  7101.5653        1.0873071
  7101.9395        1.0858722
  7102.2817        1.0858153
  7102.6987        1.0872733
  7103.1906        1.0896911
  7103.6399        1.0907868
  7104.0036        1.0913048
  7104.2818        1.0916962
  7104.6241        1.0921258
  7105.0950        1.0930257
  7105.5231        1.0934536
  7105.8763        1.0940755
  7106.2402        1.0948423
  7106.5721        1.0952733
  7107.0646        1.0964040
  7107.5251        1.0974308
  7107.9427        1.0984332
  7108.3176        1.0995184
  7108.5961        1.1005684
  7108.9711        1.1024320
  7109.5068        1.1053913
  7109.9354        1.1094577
  7110.2784        1.1146198
  7110.6214        1.1213826
  7111.0073        1.1305561
  7111.4683        1.1398960
  7111.9186        1.1460501
  7112.3583        1.1511909
  7112.6693        1.1554705
  7112.9374        1.1600696
  7113.3772        1.1651039
  7113.8278        1.1684882
  7114.2462        1.1733765
  7114.5789        1.1806153
  7114.9008        1.1888767
  7115.3194        1.2029950
  7115.8132        1.2239882
  7116.2426        1.2452870
  7116.6721        1.2705689
  7116.9728        1.2952831
  7117.2627        1.3288706
  7117.7783        1.3819777
  7118.2402        1.4325685
  7118.6270        1.4833000
  7118.9708        1.5275075
  7119.2931        1.5660431
  7119.7660        1.6213466
  7120.2067        1.6665591
  7120.6367        1.7074025
  7121.0344        1.7448273
  7121.3247        1.7783633
  7121.6473        1.8274218
  7122.0990        1.8912751
  7122.5507        1.9570100
  7122.9272        2.0226746
  7123.2500        2.0772920
  7123.5943        2.1340561
  7124.0785        2.1942007
  7124.5412        2.2368536
  7124.9718        2.2678372
  7125.3377        2.2922698
  7125.6392        2.3156229
  7125.9945        2.3501031
  7126.5329        2.3957838
  7126.9744        2.4387656
  7127.3191        2.4754124
  7127.6315        2.5021833
  7127.9977        2.5234711
  7128.5149        2.5267948
  7128.9244        2.5097138
  7129.3555        2.4786081
  7129.7111        2.4435844
  7129.9806        2.4060130
  7130.3903        2.3463904
  7130.8539        2.2955933
  7131.2852        2.2510910
  7131.6087        2.2152483
  7131.9323        2.1870806
  7132.3314        2.1581630
  7132.8384        2.1306002
  7133.2484        2.1126226
  7133.6585        2.0988593
  7134.0146        2.0876233
  7134.3060        2.0771209
  7134.7701        2.0616901
  7135.2559        2.0488954
  7135.6770        2.0378881
  7135.9902        2.0290133
  7136.3141        2.0216674
