# data from ifeffit
#------------------------
#   energy        norm
  6962.0000        1.8010599
  6972.0000        1.8001321
  6982.0000        1.7993395
  6992.0000        1.8003441
  7002.0000        1.7991893
  7012.0000        1.7993565
  7022.0000        1.7996625
  7032.0000        1.8004277
  7042.0000        1.8001782
  7052.0000        1.7995216
  7062.0000        1.8001460
  7072.0000        1.8006426
  7082.0000        1.8029905
  7092.0000        1.8048059
  7092.5000        1.8046893
  7093.0000        1.8054802
  7093.5000        1.8068571
  7094.0000        1.8056599
  7094.5000        1.8056849
  7095.0000        1.8062105
  7095.5000        1.8065870
  7096.0000        1.8071340
  7096.5000        1.8062610
  7097.0000        1.8066411
  7097.5000        1.8064953
  7098.0000        1.8072631
  7098.5000        1.8079602
  7099.0000        1.8078851
  7099.5000        1.8077298
  7100.0000        1.8088723
  7100.5000        1.8087199
  7101.0000        1.8095237
  7101.5000        1.8098565
  7102.0000        1.8097533
  7102.5000        1.8109282
  7103.0000        1.8115121
  7103.5000        1.8120004
  7104.0000        1.8119806
  7104.5000        1.8133556
  7105.0000        1.8138696
  7105.5000        1.8145049
  7106.0000        1.8160551
  7106.5000        1.8162356
  7107.0000        1.8171886
  7107.5000        1.8189429
  7108.0000        1.8214337
  7108.5000        1.8231033
  7109.0000        1.8266845
  7109.5000        1.8304030
  7110.0000        1.8388242
  7110.5000        1.8507571
  7111.0000        1.8727923
  7111.5000        1.8988544
  7112.0000        1.9176749
  7112.5000        1.9256374
  7113.0000        1.9265696
  7113.5000        1.9260202
  7114.0000        1.9234403
  7114.5000        1.9243717
  7115.0000        1.9350768
  7115.5000        1.9639857
  7116.0000        2.0217363
  7116.5000        2.1177989
  7117.0000        2.2512831
  7117.5000        2.3712923
  7118.0000        2.4504453
  7118.5000        2.5286948
  7119.0000        2.5887519
  7119.5000        2.6238525
  7120.0000        2.6238894
  7120.5000        2.6062645
  7121.0000        2.5830837
  7121.5000        2.5732856
  7122.0000        2.5767620
  7122.5000        2.5843363
  7123.0000        2.5918756
  7123.5000        2.5980332
  7124.0000        2.6023166
  7124.5000        2.6022411
  7125.0000        2.6006593
  7125.5000        2.6045251
  7126.0000        2.6141780
  7126.5000        2.6285700
  7127.0000        2.6472913
  7127.5000        2.6661668
  7128.0000        2.6844707
  7128.5000        2.7035208
  7129.0000        2.7237886
  7129.5000        2.7445761
  7130.0000        2.7675730
  7130.5000        2.7914279
  7131.0000        2.8136161
  7131.5000        2.8345415
  7132.0000        2.8495797
  7132.8830        2.8775552
  7133.7850        2.9021686
  7134.7070        2.9208496
  7135.6470        2.9338573
  7136.6060        2.9402159
  7137.5840        2.9417885
  7138.5820        2.9391277
  7139.5990        2.9371720
  7140.6340        2.9359174
  7141.6890        2.9299509
  7142.7630        2.9176759
  7143.8560        2.8958348
  7144.9680        2.8747472
  7146.0990        2.8571894
  7147.2490        2.8424577
  7148.4180        2.8285750
  7149.6060        2.8164962
  7150.8140        2.8034814
  7152.0410        2.7917579
  7153.2860        2.7826895
  7154.5510        2.7770931
  7155.8340        2.7706736
  7157.1370        2.7602460
  7158.4590        2.7445492
  7159.8000        2.7237765
  7161.1600        2.7075922
  7162.5390        2.6980620
  7163.9370        2.7021380
  7165.3540        2.7157395
  7166.7910        2.7308806
  7168.2460        2.7427419
  7169.7200        2.7493661
  7171.2140        2.7526660
  7172.7260        2.7586866
  7174.2580        2.7687889
  7175.8090        2.7793593
  7177.3780        2.7938327
  7178.9670        2.8078751
  7180.5750        2.8186342
  7182.2030        2.8266222
  7183.8490        2.8338474
  7185.5140        2.8436605
  7187.1980        2.8538824
  7188.9010        2.8620039
  7190.6240        2.8711763
  7192.3650        2.8829536
  7194.1260        2.8968468
  7195.9060        2.9114437
  7197.7050        2.9233498
  7199.5220        2.9291857
  7201.3590        2.9243178
  7203.2150        2.9028475
  7205.0900        2.8732469
  7206.9840        2.8452839
  7208.8970        2.8209334
  7210.8300        2.7996707
  7212.7810        2.7780329
  7214.7510        2.7568723
  7216.7410        2.7402047
  7218.7500        2.7252884
  7220.7770        2.7170077
  7222.8240        2.7150230
  7224.8900        2.7206489
  7226.9750        2.7319881
  7229.0790        2.7466269
  7231.2020        2.7589810
  7233.3440        2.7685653
  7235.5050        2.7785291
  7237.6850        2.7877864
  7239.8850        2.7985755
  7242.1030        2.8087753
  7244.3410        2.8192942
  7246.5970        2.8315308
  7248.8730        2.8407440
  7251.1670        2.8430871
  7253.4810        2.8344590
  7255.8140        2.8209327
  7258.1660        2.8079954
  7260.5370        2.8023124
  7262.9270        2.8047399
  7265.3360        2.8113106
  7267.7650        2.8214966
  7270.2120        2.8316099
  7272.6790        2.8378396
  7275.1640        2.8406322
  7277.6680        2.8380235
  7280.1920        2.8314426
  7282.7350        2.8234037
  7285.2970        2.8169681
  7287.8770        2.8130405
  7290.4780        2.8102752
  7293.0970        2.8058429
  7295.7350        2.7978362
  7298.3920        2.7833087
  7301.0680        2.7691412
  7303.7640        2.7590454
  7306.4780        2.7545997
  7309.2110        2.7543992
  7311.9640        2.7556189
  7314.7360        2.7546937
  7317.5260        2.7535526
  7320.3360        2.7560906
  7323.1650        2.7611225
  7326.0130        2.7720889
  7328.8800        2.7850309
  7331.7660        2.7964214
  7334.6710        2.8059907
  7337.5960        2.8117420
  7340.5390        2.8135721
  7343.5010        2.8095219
  7346.4830        2.8043874
  7349.4830        2.7988597
  7352.5030        2.7943405
  7355.5420        2.7917843
  7358.6000        2.7931172
  7361.6760        2.7973825
  7364.7720        2.8009017
  7367.8870        2.8007484
  7371.0210        2.7964122
  7374.1750        2.7907842
  7377.3470        2.7866247
  7380.5380        2.7833985
  7383.7490        2.7820157
  7386.9780        2.7817339
  7390.2270        2.7824171
  7393.4940        2.7843214
  7396.7810        2.7820893
  7400.0870        2.7756197
  7403.4120        2.7676763
  7406.7550        2.7621297
  7410.1190        2.7620532
  7413.5000        2.7651204
  7416.9020        2.7673034
  7420.3220        2.7688917
  7423.7610        2.7700009
  7427.2200        2.7687506
  7430.6970        2.7676689
  7434.1940        2.7684902
  7437.7090        2.7716621
  7441.2440        2.7759333
  7444.7980        2.7803771
  7448.3710        2.7849292
  7451.9620        2.7915650
  7455.5740        2.7945754
  7459.2040        2.7928293
  7462.8530        2.7897636
  7466.5210        2.7892994
  7470.2080        2.7884261
  7473.9150        2.7847010
  7477.6400        2.7810261
  7481.3850        2.7791776
  7485.1480        2.7775035
  7488.9310        2.7772394
  7492.7330        2.7773528
  7496.5540        2.7777921
  7500.3940        2.7791789
  7504.2530        2.7802843
  7508.1310        2.7800857
  7512.0280        2.7797398
  7515.9440        2.7799991
  7519.8790        2.7800553
  7523.8340        2.7775428
  7527.8070        2.7740611
  7531.8000        2.7709806
  7535.8120        2.7724690
  7539.8420        2.7759231
  7543.8920        2.7783705
  7547.9610        2.7793237
  7552.0490        2.7797334
  7556.1560        2.7788759
  7560.2820        2.7783429
  7564.4270        2.7792625
  7568.5910        2.7829185
  7572.7740        2.7859752
  7576.9770        2.7885070
  7581.1980        2.7921414
  7585.4390        2.7960754
  7589.6980        2.7990585
  7593.9770        2.7988163
  7598.2750        2.7985555
  7602.5920        2.7962902
  7606.9280        2.7955465
  7611.2830        2.7935295
  7615.6570        2.7931203
  7620.0500        2.7924561
  7624.4620        2.7918774
  7628.8940        2.7910828
  7633.3440        2.7911904
  7637.8130        2.7914046
  7642.3020        2.7930009
  7646.8100        2.7937352
  7651.3360        2.7958941
  7655.8820        2.7995738
  7660.4470        2.8018776
  7665.0300        2.8036588
  7669.6340        2.8045435
  7674.2550        2.8037361
  7678.8960        2.8039650
  7683.5570        2.8054025
  7688.2360        2.8067183
  7692.9350        2.8073318
  7697.6520        2.8074618
  7702.3890        2.8083502
  7707.1440        2.8103484
  7711.9190        2.8120885
  7716.7120        2.8149371
  7721.5250        2.8177239
  7726.3570        2.8193929
  7731.2080        2.8214272
  7736.0780        2.8228157
  7740.9670        2.8260785
  7745.8750        2.8291781
  7750.8030        2.8298549
  7755.7500        2.8316271
  7760.7150        2.8323508
  7765.6990        2.8333223
  7770.7030        2.8335997
  7775.7260        2.8351913
  7780.7670        2.8354457
  7785.8280        2.8356477
  7790.9080        2.8363081
  7796.0070        2.8373471
  7801.1250        2.8394553
  7806.2620        2.8408304
  7811.4180        2.8422605
  7816.5940        2.8446113
  7821.7880        2.8471071
  7827.0010        2.8499742
  7832.2340        2.8523889
  7837.4850        2.8549344
  7842.7560        2.8574107
  7848.0460        2.8592529
  7853.3540        2.8606967
  7858.6830        2.8628256
  7864.0300        2.8647514
  7869.3960        2.8664754
  7874.7810        2.8689031
  7880.1850        2.8719014
  7885.6080        2.8730466
  7891.0510        2.8745086
  7896.5120        2.8767385
  7901.9920        2.8795353
  7907.4920        2.8822181
  7913.0110        2.8850973
  7918.5480        2.8874982
  7924.1050        2.8904904
  7929.6810        2.8923241
  7935.2760        2.8942143
  7940.8900        2.8965891
  7946.5230        2.8987655
  7952.1750        2.9009467
  7957.8470        2.9033251
  7963.5370        2.9061722
  7969.2470        2.9083396
