# data from ifeffit
#------------------------
#   energy        xmuf
  6962.0000       0.23276635E-02
  6972.0000       0.27839125E-02
  6982.0000      -0.97406832E-03
  6992.0000      -0.16467133E-02
  7002.0000      -0.10567558E-02
  7012.0000       0.50458064E-03
  7022.0000      -0.34125294E-02
  7032.0000      -0.30909720E-03
  7042.0000      -0.13003987E-02
  7052.0000      -0.24518141E-02
  7062.0000      -0.29436482E-04
  7072.0000       0.55646565E-02
  7082.0000       0.89129246E-02
  7092.0000       0.11353582E-01
  7092.5000       0.13725154E-01
  7093.0000       0.13910246E-01
  7093.5000       0.11452626E-01
  7094.0000       0.11728062E-01
  7094.5000       0.10364343E-01
  7095.0000       0.92226319E-02
  7095.5000       0.10786944E-01
  7096.0000       0.14548862E-01
  7096.5000       0.12195445E-01
  7097.0000       0.14006762E-01
  7097.5000       0.13785779E-01
  7098.0000       0.14048721E-01
  7098.5000       0.14787242E-01
  7099.0000       0.14986550E-01
  7099.5000       0.15393780E-01
  7100.0000       0.14349050E-01
  7100.5000       0.16949922E-01
  7101.0000       0.18136628E-01
  7101.5000       0.14200898E-01
  7102.0000       0.18246500E-01
  7102.5000       0.16855469E-01
  7103.0000       0.15823588E-01
  7103.5000       0.17227201E-01
  7104.0000       0.15915835E-01
  7104.5000       0.17483789E-01
  7105.0000       0.17772698E-01
  7105.5000       0.16391221E-01
  7106.0000       0.18539895E-01
  7106.5000       0.20440006E-01
  7107.0000       0.23349866E-01
  7107.5000       0.22382761E-01
  7108.0000       0.22467752E-01
  7108.5000       0.25743482E-01
  7109.0000       0.26360237E-01
  7109.5000       0.24097003E-01
  7110.0000       0.27688150E-01
  7110.5000       0.28273711E-01
  7111.0000       0.32501446E-01
  7111.5000       0.39694805E-01
  7112.0000       0.50688166E-01
  7112.5000       0.61819201E-01
  7113.0000       0.68227425E-01
  7113.5000       0.78310781E-01
  7114.0000       0.83987672E-01
  7114.5000       0.79757906E-01
  7115.0000       0.77133611E-01
  7115.5000       0.78286687E-01
  7116.0000       0.82173103E-01
  7116.5000       0.84127051E-01
  7117.0000       0.84299772E-01
  7117.5000       0.88973562E-01
  7118.0000       0.92423862E-01
  7118.5000       0.99920817E-01
  7119.0000       0.11057254
  7119.5000       0.12655482
  7120.0000       0.14781581
  7120.5000       0.17750096
  7121.0000       0.22225186
  7121.5000       0.28474617
  7122.0000       0.35919184
  7122.5000       0.44032462
  7123.0000       0.51938851
  7123.5000       0.58307558
  7124.0000       0.64600610
  7124.5000       0.71302786
  7125.0000       0.78651591
  7125.5000       0.87348311
  7126.0000       0.96411704
  7126.5000        1.0518786
  7127.0000        1.1354153
  7127.5000        1.2127689
  7128.0000        1.2847253
  7128.5000        1.3481862
  7129.0000        1.3908521
  7129.5000        1.4106305
  7130.0000        1.4179166
  7130.5000        1.4265561
  7131.0000        1.4394355
  7131.5000        1.4663768
  7132.0000        1.4964936
  7132.8830        1.5184315
  7133.7850        1.5014959
  7134.7070        1.4447942
  7135.6470        1.3866244
  7136.6060        1.3491746
  7137.5840        1.3147096
  7138.5820        1.2662618
  7139.5990        1.2165644
  7140.6340        1.1672549
  7141.6890        1.1273157
  7142.7630        1.1010153
  7143.8560        1.0881634
  7144.9680        1.0858264
  7146.0990        1.0886302
  7147.2490        1.0879889
  7148.4180        1.0693227
  7149.6060        1.0405283
  7150.8140        1.0129848
  7152.0410       0.98576299
  7153.2860       0.96392251
  7154.5510       0.94061296
  7155.8340       0.91991311
  7157.1370       0.89902570
  7158.4590       0.88479883
  7159.8000       0.87909652
  7161.1600       0.87728360
  7162.5390       0.88475282
  7163.9370       0.89347361
  7165.3540       0.90582488
  7166.7910       0.91776562
  7168.2460       0.93753319
  7169.7200       0.96504781
  7171.2140       0.99273159
  7172.7260        1.0320654
  7174.2580        1.0723037
  7175.8090        1.1013685
  7177.3780        1.1172974
  7178.9670        1.1279505
  7180.5750        1.1311402
  7182.2030        1.1331402
  7183.8490        1.1289544
  7185.5140        1.1239763
  7187.1980        1.1182639
  7188.9010        1.1145155
  7190.6240        1.1127928
  7192.3650        1.1039136
  7194.1260        1.0946326
  7195.9060        1.0838660
  7197.7050        1.0784229
  7199.5220        1.0679340
  7201.3590        1.0582134
  7203.2150        1.0478623
