# data from ifeffit
#------------------------
#   energy     xmuf
  6962.0000       0.26765767E-03
  6972.0000       0.17984055E-03
  6982.0000       0.53898495E-04
  6992.0000      -0.12874386E-03
  7002.0000      -0.14440770E-03
  7012.0000      -0.26146319E-03
  7022.0000      -0.19881878E-03
  7032.0000      -0.35182652E-03
  7042.0000       0.29584125E-04
  7052.0000       0.14022601E-03
  7062.0000       0.41405320E-03
  7072.0000       0.93606334E-03
  7082.0000       0.18212881E-02
  7092.0000       0.37233173E-02
  7092.5000       0.39608002E-02
  7093.0000       0.41520250E-02
  7093.5000       0.43052876E-02
  7094.0000       0.43428315E-02
  7094.5000       0.44650176E-02
  7095.0000       0.47916979E-02
  7095.5000       0.48271932E-02
  7096.0000       0.51226729E-02
  7096.5000       0.51215372E-02
  7097.0000       0.54434218E-02
  7097.5000       0.56033227E-02
  7098.0000       0.58684426E-02
  7098.5000       0.64207012E-02
  7099.0000       0.67292030E-02
  7099.5000       0.69658051E-02
  7100.0000       0.73858232E-02
  7100.5000       0.77677776E-02
  7101.0000       0.81058901E-02
  7101.5000       0.85376226E-02
  7102.0000       0.90271224E-02
  7102.5000       0.94227321E-02
  7103.0000       0.10115169E-01
  7103.5000       0.10573227E-01
  7104.0000       0.11643790E-01
  7104.5000       0.12414943E-01
  7105.0000       0.13506179E-01
  7105.5000       0.14726875E-01
  7106.0000       0.15783159E-01
  7106.5000       0.17504152E-01
  7107.0000       0.19484030E-01
  7107.5000       0.21910675E-01
  7108.0000       0.25171962E-01
  7108.5000       0.29680375E-01
  7109.0000       0.36414210E-01
  7109.5000       0.47933969E-01
  7110.0000       0.69633749E-01
  7110.5000       0.10463014
  7111.0000       0.15532550
  7111.5000       0.20463432
  7112.0000       0.24068893
  7112.5000       0.27003254
  7113.0000       0.29448144
  7113.5000       0.31554886
  7114.0000       0.33358347
  7114.5000       0.34720285
  7115.0000       0.35415294
  7115.5000       0.35916582
  7116.0000       0.36491716
  7116.5000       0.37480407
  7117.0000       0.39438223
  7117.5000       0.42411729
  7118.0000       0.45738698
  7118.5000       0.49577966
  7119.0000       0.53181555
  7119.5000       0.57137596
  7120.0000       0.61251790
  7120.5000       0.65083081
  7121.0000       0.68590250
  7121.5000       0.71820389
  7122.0000       0.74411049
  7122.5000       0.76696969
  7123.0000       0.78794042
  7123.5000       0.80580796
  7124.0000       0.82176484
  7124.5000       0.83709218
  7125.0000       0.85129583
  7125.5000       0.86643076
  7126.0000       0.88239959
  7126.5000       0.89913076
  7127.0000       0.91848969
  7127.5000       0.93938189
  7128.0000       0.96293477
  7128.5000       0.98657918
  7129.0000        1.0093557
  7129.5000        1.0281878
  7130.0000        1.0421367
  7130.5000        1.0478520
  7131.0000        1.0432248
  7131.5000        1.0300224
  7132.0000        1.0133350
  7132.8830       0.97828731
  7133.7850       0.94693563
  7134.7070       0.92376211
  7135.6470       0.91158009
  7136.6060       0.90955775
  7137.5840       0.91695106
  7138.5820       0.93011470
  7139.5990       0.94294205
  7140.6340       0.95135484
  7141.6890       0.95184734
  7142.7630       0.94742783
  7143.8560       0.94347694
  7144.9680       0.94649245
  7146.0990       0.95805059
  7147.2490       0.97671323
  7148.4180       0.99569444
  7149.6060        1.0083977
  7150.8140        1.0160840
  7152.0410        1.0221593
  7153.2860        1.0243659
  7154.5510        1.0217653
  7155.8340        1.0171975
  7157.1370        1.0131245
  7158.4590        1.0114155
  7159.8000        1.0114585
  7161.1600        1.0092474
  7162.5390        1.0050388
  7163.9370       0.99898062
  7165.3540       0.99471207
  7166.7910       0.99173344
  7168.2460       0.98837384
  7169.7200       0.98344277
  7171.2140       0.97543728
  7172.7260       0.96408701
  7174.2580       0.94965628
  7175.8090       0.93416319
  7177.3780       0.92028029
  7178.9670       0.91116019
  7180.5750       0.90936409
  7182.2030       0.91210315
  7183.8490       0.91886186
  7185.5140       0.93002759
  7187.1980       0.94497892
  7188.9010       0.96042706
  7190.6240       0.97828487
  7192.3650       0.99425725
  7194.1260       0.99991799
  7195.9060       0.99456070
  7197.7050       0.98093200
