# data from ifeffit
#------------------------
#   energy      xmu       bkg       deriv
  6911.7671       0.10527328E-02   0.10527328E-02  -0.59251738E-03
  6916.8730       0.93422936E-03   0.93422936E-03  -0.91767084E-03
  6921.7030       0.68566450E-03   0.68566450E-03  -0.68107383E-03
  6926.8344       0.66179983E-03   0.66179983E-03   0.10366093E-02
  6931.7399       0.11003082E-02   0.11003082E-02  -0.15165137E-02
  6936.9887       0.55194358E-04   0.55194358E-04  -0.22036249E-02
  6941.7869       0.21885826E-03   0.21885826E-03  -0.83047435E-04
  6946.8779       0.21975384E-04   0.21975384E-04  -0.46473142E-03
  6951.9154       0.32965691E-04   0.32965691E-04  -0.35818504E-03
  6956.9401      -0.12129863E-03  -0.12129863E-03  -0.17031144E-03
  6961.9621      -0.35158884E-04  -0.35158884E-04  -0.41152772E-03
  6966.8684      -0.28590972E-03  -0.28590972E-03  -0.57911435E-03
  6971.9156      -0.26680463E-03  -0.26680463E-03  -0.38426800E-03
  6976.8572      -0.43961692E-03  -0.43961692E-03  -0.15101018E-03
  6981.9918      -0.32720870E-03  -0.32720870E-03   0.18097245E-03
  6986.8759      -0.36722794E-03  -0.36722794E-03  -0.45212998E-04
  6991.9328      -0.34529390E-03  -0.34529390E-03  -0.27649467E-04
  6996.9144      -0.37828773E-03  -0.37828773E-03  -0.31957118E-03
  7001.8515      -0.47312237E-03  -0.47312237E-03  -0.32790497E-03
  7006.9934      -0.50944972E-03  -0.50944972E-03   0.11091967E-03
  7011.8412      -0.42875450E-03  -0.42875450E-03  -0.20224516E-05
  7016.9463      -0.51025870E-03  -0.51025870E-03  -0.11833883E-03
  7021.8712      -0.47609003E-03  -0.47609003E-03   0.48355488E-03
  7026.8765      -0.31683675E-03  -0.31683675E-03   0.43741385E-03
  7031.9730      -0.30112449E-03  -0.30112449E-03   0.17378413E-03
  7036.8361      -0.24732310E-03  -0.24732310E-03   0.65594478E-03
  7041.8952      -0.38746580E-04  -0.38746580E-04   0.58648476E-03
  7046.8567      -0.12729193E-04  -0.12729193E-04   0.47724063E-03
  7051.8254       0.15214967E-03   0.15214967E-03   0.63242148E-03
  7056.8965       0.24023940E-03   0.24023940E-03   0.11199184E-02
  7061.8378       0.60011704E-03   0.60011704E-03   0.16004201E-02
  7066.7546       0.88040744E-03   0.88040744E-03   0.15786142E-02
  7071.8057       0.12315627E-02   0.12315627E-02   0.20577906E-02
  7076.7476       0.17035237E-02   0.17035237E-02   0.26275156E-02
  7081.6860       0.22825690E-02   0.22825690E-02   0.38850399E-02
  7086.7913       0.32575396E-02   0.32575396E-02   0.50561927E-02
  7091.5312       0.43050460E-02   0.43050460E-02   0.74494222E-02
  7096.5552       0.62373085E-02   0.62373085E-02   0.75052022E-02
  7101.5653       0.73071269E-02   0.73071269E-02  -0.91277943E-03
  7101.9395       0.58721967E-02   0.58721967E-02  -0.37296169E-02
  7102.2817       0.58152801E-02   0.58152801E-02   0.35026967E-02
  7102.6987       0.72732754E-02   0.72732754E-02   0.96894412E-02
  7103.1906       0.96910566E-02   0.96910566E-02   0.87836881E-02
  7103.6399       0.10786751E-01   0.10786751E-01   0.40342915E-02
  7104.0036       0.11304773E-01   0.11304773E-01   0.22735798E-02
  7104.2818       0.11696183E-01   0.11696183E-01   0.20525419E-02
  7104.6241       0.12125790E-01   0.12125790E-01   0.33238961E-02
  7105.0950       0.13025741E-01   0.13025741E-01   0.33194732E-02
  7105.5231       0.13453579E-01   0.13453579E-01   0.26242785E-02
  7105.8763       0.14075452E-01   0.14075452E-01   0.34718451E-02
  7106.2402       0.14842317E-01   0.14842317E-01   0.29945737E-02
  7106.5721       0.15273282E-01   0.15273282E-01   0.39041773E-02
  7107.0646       0.16403988E-01   0.16403988E-01   0.53938190E-02
  7107.5251       0.17430810E-01   0.17430810E-01   0.50731242E-02
  7107.9427       0.18433238E-01   0.18433238E-01   0.52189727E-02
  7108.3176       0.19518399E-01   0.19518399E-01   0.53380032E-02
  7108.5961       0.20568439E-01   0.20568439E-01   0.72841289E-02
  7108.9711       0.22432050E-01   0.22432050E-01   0.12057145E-01
  7109.5068       0.25391297E-01   0.25391297E-01   0.17564020E-01
  7109.9354       0.29457658E-01   0.29457658E-01   0.23071319E-01
  7110.2784       0.34619825E-01   0.34619825E-01   0.29812241E-01
  7110.6214       0.41382555E-01   0.41382555E-01   0.39840675E-01
  7111.0073       0.50556095E-01   0.50556095E-01   0.46283554E-01
  7111.4683       0.59895976E-01   0.59895976E-01   0.38735000E-01
  7111.9186       0.66050095E-01   0.66050095E-01   0.28237206E-01
  7112.3583       0.71190859E-01   0.71190859E-01   0.23550895E-01
  7112.6693       0.75470453E-01   0.75470453E-01   0.22196822E-01
  7112.9374       0.80069588E-01   0.80069588E-01   0.24083553E-01
  7113.3772       0.85103874E-01   0.85103874E-01   0.21046468E-01
  7113.8278       0.88488175E-01   0.88488175E-01   0.20681462E-01
  7114.2462       0.93376458E-01   0.93376458E-01   0.30317875E-01
  7114.5789       0.10061532       0.10061532       0.38750661E-01
  7114.9008       0.10887672       0.10887672       0.55949173E-01
  7115.3194       0.12299499       0.12299499       0.87778691E-01
  7115.8132       0.14398820       0.14398820       0.10573002
  7116.2426       0.16528700       0.16528700       0.11645175
  7116.6721       0.19056890       0.19056890       0.12499021
  7116.9728       0.21528308       0.21528308       0.14575424
  7117.2627       0.24887060       0.24887060       0.21673657
  7117.7783       0.30197771       0.30197771       0.25924472
  7118.2402       0.35256848       0.35256848       0.25330569
  7118.6270       0.40329999       0.40329999       0.23734741
  7118.9708       0.44750745       0.44750745       0.20685771
  7119.2931       0.48604307       0.48604307       0.23459777
  7119.7660       0.54134656       0.54134656       0.25129017
  7120.2067       0.58655914       0.58655914       0.21513978
  7120.6367       0.62740247       0.62740247       0.19567037
  7121.0344       0.66482729       0.66482729       0.17740202
  7121.3247       0.69836328       0.69836328       0.20648629
  7121.6473       0.74742180       0.74742180       0.28227961
  7122.0990       0.81127512       0.81127512       0.32397044
  7122.5507       0.87700998       0.87700998       0.32849861
  7122.9272       0.94267457       0.92750564       0.30070508
  7123.2500       0.99729202       0.92816177       0.27845386
  7123.5943        1.0540561       0.92885374       0.29227159
  7124.0785        1.1142007       0.92981309       0.25699363
  7124.5412        1.1568536       0.93071491       0.18409125
  7124.9718        1.1878372       0.93154084       0.13854052
  7125.3377        1.2122698       0.93223311       0.11946439
  7125.6392        1.2356229       0.93279652       0.14458337
  7125.9945        1.2701031       0.93345281       0.20040222
  7126.5329        1.3157838       0.93443136       0.22165631
  7126.9744        1.3587656       0.93521964       0.19907148
  7127.3191        1.3954124       0.93582609       0.15854419
  7127.6315        1.4221833       0.93636908       0.12014679
  7127.9977        1.4434711       0.93699773       0.61528762E-01
  7128.5149        1.4467948       0.93787070      -0.34393276E-01
  7128.9244        1.4297138       0.93854982      -0.12046683
  7129.3555        1.3986081       0.93925333      -0.16532337
  7129.7111        1.3635844       0.93982503      -0.18148778
  7129.9806        1.3260130       0.94025292      -0.24298510
  7130.3903        1.2663904       0.94089476      -0.27604922
  7130.8539        1.2155933       0.94160871      -0.23824862
  7131.2852        1.1710910       0.94226115      -0.20086255
  7131.6087        1.1352483       0.94274314      -0.16002590
  7131.9323        1.1070806       0.94321888      -0.14271318
  7132.3314        1.0781630       0.94379707      -0.14120088
  7132.8384        1.0506002       0.94451800      -0.11385109
  7133.2484        1.0326226       0.94508989      -0.79352383E-01
  7133.6585        1.0188593       0.94565205      -0.62498063E-01
  7134.0146        1.0076233       0.94613239      -0.54346120E-01
  7134.3060       0.99712085       0.94652001      -0.64833194E-01
  7134.7701       0.98169006       0.94712738      -0.70563543E-01
  7135.2559       0.96889543       0.94775003      -0.59504880E-01
  7135.6770       0.95788811       0.94827901      -0.49705436E-01
  7135.9902       0.94901325       0.94866599      -0.40551869E-01
  7136.3141       0.94166736       0.94906065      -0.37987640E-01
  7136.7570       0.93381820       0.94959077      -0.34134389E-01
  7137.2322       0.92801360       0.95014787      -0.21194976E-01
  7137.6428       0.92534021       0.95061926      -0.83073076E-02
  7138.0533       0.92469068       0.95108170       0.28122446E-03
  7138.3667       0.92545270       0.95142864       0.95017368E-02
  7138.6801       0.92849137       0.95177043       0.24951473E-01
  7139.1016       0.93543329       0.95222205       0.40063820E-01
  7139.5880       0.94451690       0.95273177       0.45851817E-01
  7139.9664       0.95377401       0.95311987       0.47744841E-01
  7140.3015       0.96361484       0.95345757       0.49154442E-01
  7140.6043       0.97343579       0.95375774       0.58544085E-01
  7141.1017       0.98703247       0.95424097       0.57552800E-01
  7141.5451       0.99645691       0.95466138       0.40235748E-01
  7141.9670        1.0031268       0.95505237       0.24634674E-01
  7142.3456        1.0063108       0.95539592       0.10481027E-01
  7142.6810        1.0073192       0.95569447      -0.70996050E-03
  7143.0165        1.0060268       0.95598766      -0.17552209E-01
  7143.5034        1.0002983       0.95640381      -0.32947708E-01
  7143.9688       0.99284771       0.95679113      -0.40318726E-01
  7144.3693       0.98417081       0.95711639      -0.40980991E-01
  7144.6616       0.97645532       0.95734910      -0.43432990E-01
  7145.0081       0.96679761       0.95761989      -0.56011393E-01
  7145.5061       0.95405076       0.95799969      -0.59860582E-01
  7145.9285       0.94285338       0.95831305      -0.40350705E-01
  7146.1342       0.93791048       0.95846286      -0.69243531E-01
  7147.1308       0.91515597       0.95916219      -0.11432158
  7148.3769       0.89218185       0.95997682      -0.94140631E-01
  7149.4825       0.87749972       0.96064558      -0.63484757E-01
  7150.7729       0.86678794       0.96136390      -0.43959335E-01
  7151.9661       0.85991598       0.96197052      -0.29232777E-01
  7153.2031       0.85509483       0.96254305      -0.17032306E-01
  7154.5382       0.85310306       0.96309900      -0.12679948E-02
  7155.7110       0.85458763       0.96353627       0.18564892E-01
  7157.0580       0.86052902       0.96398201       0.37677302E-01
  7158.3621       0.86965856       0.96435843       0.46546817E-01
  7159.6775       0.87914774       0.96468576       0.52139693E-01
  7161.1349       0.89051443       0.96499002       0.54947800E-01
  7162.3752       0.90112686       0.96520312       0.69349521E-01
  7163.8554       0.91825424       0.96540538       0.11119338
  7165.2383       0.94560421       0.96554615       0.14791161
  7166.5673       0.97741889       0.96564039       0.16149603
  7168.1256        1.0102026       0.96570320       0.14999011
  7169.6520        1.0374149       0.96571867       0.11605475
  7171.0481        1.0566245       0.96569630       0.77752094E-01
  7172.5757        1.0685158       0.96563553       0.42917101E-01
  7174.1587        1.0737914       0.96553666       0.86188117E-02
  7175.6768        1.0719633       0.96541156      -0.28885976E-01
  7177.2065        1.0622370       0.96525952      -0.70404722E-01
  7178.9337        1.0438014       0.96506146      -0.95271303E-01
  7180.5524        1.0241285       0.96485535      -0.93705944E-01
  7182.1171        1.0063190       0.96464180      -0.83868126E-01
  7183.6825       0.99058121       0.96441832      -0.73166825E-01
  7185.4567       0.97705229       0.96415620      -0.67685310E-01
  7187.2319       0.96350708       0.96388484      -0.65329112E-01
  7188.9312       0.95092065       0.96361666      -0.58641687E-01
  7190.5875       0.94005041       0.96334746      -0.50696580E-01
  7192.3105       0.93064202       0.96305934      -0.37728091E-01
  7194.1551       0.92495917       0.96274185      -0.15479194E-01
  7196.0336       0.92445034       0.96240907       0.92779883E-02
  7197.8472       0.92867037       0.96207889       0.26822429E-01
  7199.5848       0.93517931       0.96175445       0.33394828E-01
  7201.3452       0.94202830       0.96141778       0.30895692E-01
  7203.3158       0.94753759       0.96103156       0.17690460E-01
  7205.3535       0.94910448       0.96062193       0.16173050E-02
  7207.2492       0.94818451       0.96023168      -0.42711593E-02
  7209.1459       0.94739602       0.95983250       0.57126810E-03
  7211.1209       0.94841302       0.95940774       0.10569179E-01
  7213.0750       0.95162369       0.95897850       0.22524287E-01
  7215.0412       0.95742273       0.95853773       0.33364526E-01
  7217.0748       0.96496950       0.95807267       0.37215650E-01
  7219.0322       0.97230899       0.95761640       0.29554319E-01
  7221.2010       0.97679123       0.95710113       0.79769954E-02
  7223.3269       0.97549979       0.95658637      -0.18700943E-01
  7225.4540       0.96931085       0.95606188      -0.38361121E-01
